iid,sid
0,455
120,455
170,455
1,410
145,410
195,410
2,482
89,482
129,482
179,482
3,431
67,431
143,431
193,431
219,431
4,457
101,457
171,457
5,414
55,414
161,414
6,419
69,419
113,419
163,419
7,437
88,437
116,437
184,437
8,406
104,406
194,406
9,484
100,484
159,484
233,484
10,409
110,409
153,409
11,415
59,415
126,415
176,415
12,417
74,417
112,417
162,417
13,418
94,418
106,418
164,418
14,420
114,420
15,429
64,429
115,429
165,429
16,434
118,434
151,434
17,443
117,443
158,443
18,445
103,445
168,445
19,450
50,450
109,450
169,450
20,478
65,478
136,478
186,478
223,478
21,422
82,422
83,422
147,422
197,422
22,407
23,468
124,468
155,468
24,471
111,471
150,471
25,480
85,480
86,480
148,480
198,480
231,480
26,416
102,416
156,416
27,481
87,481
127,481
177,481
28,458
97,458
132,458
199,458
235,458
29,413
77,413
139,413
189,413
30,428
130,428
180,428
31,485
81,485
131,485
181,485
32,483
70,483
137,483
187,483
227,483
33,436
60,436
134,436
166,436
34,476
63,476
78,476
133,476
183,476
35,467
62,467
75,467
135,467
185,467
36,441
54,441
108,441
167,441
37,405
76,405
107,405
157,405
38,473
58,473
144,473
174,473
39,440
90,440
128,440
191,440
40,452
119,452
160,452
41,408
68,408
140,408
190,408
42,454
98,454
142,454
192,454
236,454
43,472
105,472
152,472
44,461
121,461
154,461
45,463
122,463
172,463
46,464
92,464
146,464
196,464
47,449
93,449
149,449
178,449
48,470
91,470
123,470
173,470
49,479
84,479
125,479
175,479
51,233
52,446
138,446
188,446
53,156
215,156
56,377
57,386
61,359
66,341
71,75
221,75
72,17
73,305
79,477
141,477
182,477
80,237
222,237
95,8
225,8
96,318
228,318
99,399
234,399
200,79
201,160
202,241
203,403
204,235
205,240
206,322
207,159
208,402
209,188
210,215
211,78
212,296
213,316
214,321
216,397
217,154
218,73
220,26
224,53
226,269
229,107
230,134
232,350
