iid,sid
0,966
91,966
110,966
174,966
218,966
1,1480
2,80
96,80
126,80
161,80
212,80
226,80
3,1496
4,1485
5,1476
6,1490
7,1498
8,1475
9,1494
10,492
11,1499
12,79
97,79
148,79
176,79
221,79
245,79
13,404
147,404
197,404
14,491
66,491
15,1491
16,1481
17,1493
18,1497
19,965
98,965
107,965
172,965
222,965
20,1378
21,595
104,595
170,595
204,595
22,1376
73,1376
85,1376
23,888
125,888
177,888
225,888
233,888
235,888
24,1375
74,1375
83,1375
25,1057
26,589
114,589
164,589
210,589
27,590
106,590
163,590
202,590
28,489
84,489
93,489
29,1058
153,1058
30,1052
70,1052
101,1052
151,1052
31,0
131,0
181,0
231,0
32,1061
33,1062
34,1492
35,1501
36,1486
37,1060
38,1054
57,1054
150,1054
39,167
143,167
193,167
232,167
237,167
40,1055
41,1064
105,1064
42,1377
95,1377
43,168
141,168
191,168
236,168
240,168
44,594
109,594
192,594
208,594
45,490
75,490
82,490
46,1053
88,1053
100,1053
154,1053
47,1051
111,1051
152,1051
48,1050
102,1050
49,1059
50,1479
51,1479
52,1474
55,1474
53,1292
145,1292
194,1292
214,1292
54,500
68,500
56,1389
90,1389
58,1386
62,1386
59,1056
60,587
113,587
155,587
61,1293
117,1293
186,1293
223,1293
63,1387
72,1387
64,591
103,591
158,591
65,501
71,501
67,503
69,503
76,164
133,164
199,164
215,164
242,164
77,970
108,970
184,970
200,970
78,85
118,85
188,85
209,85
219,85
79,1291
136,1291
167,1291
220,1291
234,1291
80,165
132,165
182,165
248,165
249,165
81,886
127,886
175,886
239,886
241,886
247,886
86,1290
140,1290
190,1290
205,1290
224,1290
87,971
121,971
180,971
203,971
89,887
135,887
185,887
227,887
243,887
92,592
120,592
159,592
206,592
94,1294
144,1294
195,1294
211,1294
230,1294
99,84
116,84
165,84
201,84
238,84
112,586
156,586
115,83
166,83
216,83
119,87
169,87
246,87
122,973
198,973
123,588
162,588
124,972
171,972
128,82
179,82
207,82
129,81
178,81
213,81
130,969
196,969
134,968
157,968
137,1295
187,1295
217,1295
138,86
168,86
244,86
139,405
189,405
142,593
160,593
146,967
173,967
149,166
183,166
228,166
229,166
