iid,sid
0,29781
145,29781
157,29781
340,29781
408,29781
459,29781
1,27479
307,27479
2,696
122,696
159,696
219,696
409,696
455,696
511,696
3,405
109,405
169,405
206,405
211,405
303,405
370,405
419,405
469,405
505,405
514,405
4,2707
119,2707
172,2707
224,2707
323,2707
422,2707
458,2707
517,2707
5,1904
89,1904
204,1904
322,1904
500,1904
6,27768
7,28983
113,28983
175,28983
316,28983
387,28983
414,28983
474,28983
502,28983
8,2706
108,2706
173,2706
246,2706
407,2706
476,2706
509,2706
9,27143
91,27143
99,27143
118,27143
168,27143
222,27143
332,27143
390,27143
418,27143
468,27143
518,27143
10,28967
123,28967
171,28967
321,28967
424,28967
457,28967
11,29780
12,27481
75,27481
360,27481
13,1684
128,1684
163,1684
232,1684
327,1684
377,1684
428,1684
478,1684
527,1684
549,1684
14,27483
81,27483
106,27483
166,27483
201,27483
342,27483
413,27483
463,27483
15,68
115,68
182,68
209,68
245,68
315,68
432,68
482,68
526,68
16,27139
114,27139
186,27139
313,27139
440,27139
466,27139
534,27139
17,694
111,694
158,694
220,694
412,694
464,694
507,694
18,27140
116,27140
178,27140
344,27140
416,27140
484,27140
536,27140
19,69
93,69
94,69
117,69
167,69
223,69
249,69
317,69
376,69
417,69
467,69
512,69
513,69
20,28758
148,28758
198,28758
326,28758
388,28758
423,28758
488,28758
524,28758
21,27142
144,27142
194,27142
205,27142
318,27142
444,27142
494,27142
22,28966
23,2694
142,2694
192,2694
229,2694
349,2694
442,2694
491,2694
542,2694
24,407
52,407
203,407
302,407
394,407
25,406
96,406
112,406
162,406
208,406
214,406
325,406
425,406
462,406
530,406
26,1893
120,1893
170,1893
228,1893
308,1893
421,1893
471,1893
538,1893
27,65
127,65
177,65
237,65
427,65
477,65
521,65
537,65
28,27477
86,27477
146,27477
176,27477
234,27477
336,27477
375,27477
426,27477
490,27477
546,27477
29,66
129,66
179,66
241,66
329,66
429,66
479,66
541,66
545,66
30,1909
140,1909
174,1909
215,1909
338,1909
399,1909
420,1909
475,1909
501,1909
522,1909
31,0
131,0
181,0
231,0
331,0
397,0
431,0
481,0
531,0
32,2695
126,2695
164,2695
216,2695
319,2695
448,2695
480,2695
548,2695
33,1682
133,1682
183,1682
247,1682
335,1682
385,1682
433,1682
483,1682
533,1682
547,1682
34,27478
136,27478
190,27478
238,27478
314,27478
446,27478
492,27478
35,402
135,402
185,402
227,402
235,402
333,402
435,402
485,402
535,402
36,67
107,67
165,67
244,67
415,67
465,67
519,67
37,70
137,70
187,70
225,70
226,70
337,70
437,70
487,70
528,70
529,70
38,27145
134,27145
188,27145
230,27145
330,27145
380,27145
434,27145
486,27145
532,27145
39,1683
139,1683
189,1683
239,1683
339,1683
439,1683
489,1683
539,1683
40,29769
125,29769
195,29769
320,29769
445,29769
495,29769
41,404
143,404
193,404
212,404
243,404
343,404
443,404
493,404
525,404
42,28757
138,28757
180,28757
348,28757
438,28757
498,28757
43,403
92,403
141,403
191,403
233,403
240,403
341,403
392,403
441,403
470,403
540,403
543,403
44,29768
132,29768
184,29768
328,29768
436,29768
473,29768
45,1892
104,1892
152,1892
218,1892
383,1892
402,1892
452,1892
504,1892
46,27141
103,27141
153,27141
346,27141
406,27141
453,27141
47,27074
147,27074
197,27074
347,27074
381,27074
447,27074
497,27074
48,28756
130,28756
196,28756
345,28756
398,28756
430,28756
496,28756
544,28756
49,27476
149,27476
199,27476
242,27476
334,27476
449,27476
499,27476
50,32255
51,34263
54,1894
55,27075
124,27075
161,27075
202,27075
362,27075
374,27075
411,27075
461,27075
503,27075
56,7189
57,11810
58,32222
59,34230
60,28763
61,38883
62,5181
63,36243
64,28968
65,9169
66,27482
67,34241
373,34241
68,27147
70,38884
71,701
354,701
72,36242
73,34231
74,32233
369,32233
76,27785
361,27785
77,695
368,695
80,32223
82,1688
84,27796
393,27796
85,5159
350,5159
372,5159
87,7167
352,7167
396,7167
88,27775
90,27769
95,28978
310,28978
97,711
353,711
98,722
386,722
100,27148
150,27148
400,27148
456,27148
101,2696
151,2696
207,2696
401,2696
450,2696
510,2696
102,28974
156,28974
410,28974
460,28974
105,27770
155,27770
405,27770
454,27770
110,74
154,74
213,74
404,74
451,74
506,74
121,1900
160,1900
210,1900
403,1900
472,1900
515,1900
200,1897
300,32200
301,17279
304,7203
305,5195
306,14431
309,7134
311,32269
312,5126
324,34277
351,1912
356,32224
357,5150
358,3387
359,7158
363,1895
364,32232
365,28969
367,34240
371,34232
378,717
379,7166
382,716
389,27791
391,5158
395,27790
