breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
date,-1,0.996624386,0.003137973,trend,shape,0.00312738,cases,0,330,"[-0.014209068077291625, -0.04587591479865714]","[-0.008258400874674263, 0.0062287915378518195]","[-0.003971425963973695, -0.00032031462818228585]","[-1.836455225944519, -3.2585561275482178]",-1.836455225944519,-3.2585561275482178,"[-13.398946192255394, -4.125887340584491]","[-0.005066005498418625, -0.002413183580333885]","[-2.8040343390935147, 0.10862288131982191]","[2.432363986968994, -3.4895107746124268]"
date,-1,0.979936318,0.004183964,trend,shape,0.0041000179999999,cases,1,85,"[-0.012938581495576152, -0.046542261930611]","[-0.007579944594729003, 0.004771328587821056]","[-0.005122323065146414, -0.0038020131001448034]","[-0.28505560755729675, -3.2801454067230225]",-0.28505560755729675,-3.2801454067230225,"[-18.36961775506593, -4.579803206130215]","[-0.005122350480944915, 0.00012137550142129544]","[-10.921375823370168, -8.769900826727657]","[1.4251855611801147, -2.0320608615875244]"
date,2021/1/15,0.999992567,0.004183964,change point,shape,0.004183933,cases,101,85,"[-0.012938575898669343, -0.04654225596258472]","[-0.007624146672254726, 0.004853330696920956]","[-0.005122323065146415, -0.0038020131001448017]","[-0.2850556969642639, -3.2801454067230225]",-0.2850556969642639,-3.2801454067230225,"[-18.36961775922371, -4.5798032373048905]","[-0.005159948292863283, 8.052227904155568e-05]","[-10.921375823370173, -8.769900826727657]","[1.425071358680725, -2.032322645187378]"
date,2021/2/10,0.928979689,0.004183964,outlier,shape,0.003886817,cases,173,85,"[-0.012938581484623539, -0.04654226191893265]","[-0.0076241466722547, 0.0048533306969209674]","[-0.005122323065146414, -0.0038020131001448034]","[-0.28505566716194153, -3.2801454067230225]",-0.28505566716194153,-3.2801454067230225,"[-18.369617755059334, -4.57980320608158]","[-0.005072902933276591, -0.0009459627643535248]","[-10.921375823370173, -8.769900826727657]","[1.4250712394714355, -2.032322645187378]"
date,-1,0.972040838,0.004183964,trend,shape,0.004066984,cases,2,147,"[-0.014769549257320174, -0.0428505751432996]","[-0.009354860029285251, 0.008632257079585868]","[-0.004468114869640651, 0.0009862247411341139]","[-3.516968250274658, -6.217713356018066]",-3.516968250274658,-6.217713356018066,"[-10.763955803420858, -5.467136794031576]","[-0.0026943892599436367, -0.002726318279703247]","[-2.9827959910651245, -1.9637229111901617]","[4.11848783493042, -4.165687084197998]"
date,2021/1/15,0.999999475,0.004183964,change point,shape,0.004183961,cases,108,147,"[-0.014769549036338064, -0.04285057498123081]","[-0.009319492395776013, 0.00859435693968073]","[-0.004468114869640653, 0.0009862247411341143]","[-3.513856887817383, -6.2076520919799805]",-3.513856887817383,-6.2076520919799805,"[-10.763955024295004, -5.467137826967395]","[-0.002559206120056135, -0.0027957816334664033]","[-2.9827959910651236, -1.9637229111901615]","[4.1187238693237305, -4.1664910316467285]"
date,2021/2/8,0.907479871,0.004183964,outlier,shape,0.0037968629999999,cases,150,147,"[-0.01476954906712492, -0.042850575003115045]","[-0.009356432979711114, 0.00862295185052859]","[-0.004468114869640653, 0.0009862247411341139]","[-3.513856887817383, -6.2076520919799805]",-3.513856887817383,-6.2076520919799805,"[-10.76395621750746, -5.467136245008679]","[-0.0025592061200561313, -0.0027957816334664]","[-2.9827959910651263, -1.9637229111901615]","[4.118487358093262, -4.16568660736084]"
date,-1,0.988943404,0.004183964,trend,shape,0.0041377029999999,cases,3,87,"[-0.01412822958687202, -0.04540635602775491]","[-0.008215073542107558, 0.006206409214016673]","[-0.004650015554660005, -0.002264510772619811]","[1.8332041501998901, -3.4755101203918457]",1.8332041501998901,-3.4755101203918457,"[-15.399639508011484, 0.21000266427502598]","[-0.0027996542127280795, 0.0008396595480099136]","[-2.982795991065124, -1.9637229111901617]","[-0.9140820503234863, -2.38020920753479]"
date,2021/1/15,0.999999999,0.004183964,change point,shape,0.004183964,cases,107,87,"[-0.014128229582378572, -0.045406356018396606]","[-0.008215073542107548, 0.0062064092140166815]","[-0.004650015554660004, -0.002264510772619814]","[1.8332691192626953, -3.475145101547241]",1.8332691192626953,-3.475145101547241,"[-15.39963950800228, 0.21000266428166722]","[-0.0027996542127280795, 0.0008396595480099195]","[-2.9827959910651254, -1.9637229111901613]","[-0.9140799641609192, -2.3806328773498535]"
date,2021/2/10,0.923298079,0.004183964,outlier,shape,0.0038630459999999,cases,158,87,"[-0.014128229582527381, -0.045406356018624715]","[-0.008215073542107555, 0.0062064092140166624]","[-0.004650015554660004, -0.0022645107726198123]","[1.8333015441894531, -3.4752113819122314]",1.8333015441894531,-3.4752113819122314,"[-15.39963950793305, 0.21000266433168238]","[-0.0027504867963371853, 0.0008475219319165303]","[-2.9827959910651254, -1.9637229111901615]","[-0.914080023765564, -2.3806324005126953]"
