breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
Birthday,-1,0.277868579595008,0.1111111111111111,Trend,Shape,0.0308742866216675,Count of persons,0,930,"[-0.04475369556143688, -0.1835734594506874]","[0.022467174309306878, -0.0020236120209357563]","[0.020451499564781577, 0.001879324142273676]","[8.867119789123535, 6.126481056213379]",8.867119789123535,6.126481056213379,"[-0.38256562508789227, 2.037442288434489]","[0.018294668688863234, -0.0060816813883127485]","[-0.057192140338856425, -0.11222460346118901]","[5.8443098068237305, 14.590968132019043]"
Marital Status,Never married,1.0,0.1111111111111111,Top1,Point,0.1111111111111111,Count of persons,90,930,"[-0.044753695561436865, -0.18357345945068745]","[0.02295982664982531, -0.0007159403409570625]","[0.0204514995647816, 0.0018793241422736832]","[9.604374885559082, 6.251856327056885]",9.604374885559082,6.251856327056885,"[-0.38256562508789227, 2.037442288434489]","[0.018294668688863244, -0.006081681388312731]","[-0.05719214033885627, -0.11222460346118866]","[6.551936626434326, 14.609573364257812]"
Birthday,1996,0.9124896627819836,0.1111111111111111,Outlier,Shape,0.1013877403091092,Count of persons,130,930,"[-0.04475369556143688, -0.1835734594506874]","[0.022959826649825318, -0.0007159403409570864]","[0.020451499564781594, 0.0018793241422736904]","[8.636468887329102, 5.361395835876465]",8.636468887329103,5.361395835876465,"[-0.38256562508789227, 2.037442288434489]","[0.01829466868886323, -0.006081681388312763]","[-0.057192140338856376, -0.11222460346118886]","[7.246067047119141, 14.774247169494629]"
Marital Status,Never married,0.9326155288105856,0.1111111111111111,Attribution,Point,0.1036239476456206,Count of persons,165,930,"[-0.04475369556143688, -0.18357345945068748]","[0.022959826649825297, -0.0007159403409570834]","[0.020451499564781594, 0.0018793241422736615]","[9.259679794311523, 6.690173149108887]",9.259679794311523,6.690173149108888,"[-0.38256562508789227, 2.037442288434489]","[0.018294668688863234, -0.00608168138831274]","[-0.057192140338856376, -0.11222460346118905]","[7.224332809448242, 14.279350280761719]"
Birthday,-1,0.9362411915062075,0.0333333333333333,Trend,Shape,0.0312080397168735,Count of persons,1,1444,"[-0.14419462566317917, -0.11183071711182792]","[0.004390255483418807, -0.009385544172642849]","[-0.10790613883009219, -0.006981555087022476]","[1.944185733795166, 1.5087155103683472]",1.944185733795166,1.5087155103683472,"[-0.16951797810185773, -0.42374333935276765]","[0.008423234635563107, -0.000928108488248227]","[-0.9175747372137216, -0.6127278421051408]","[7.4369120597839355, 1.4035816192626953]"
Birthday,-1,0.277868579595008,0.1111111111111111,Trend,Shape,0.0308742866216675,Count of persons,2,78,"[-0.044753695561436754, -0.18357345945068726]","[0.02246717430930689, -0.0020236120209357624]","[0.020451499564781584, 0.0018793241422736724]","[8.758868217468262, 6.8851494789123535]",8.758868217468263,6.8851494789123535,"[-0.3825656250878926, 2.037442288434489]","[0.01829466868886324, -0.006081681388312761]","[-0.05719214033885644, -0.11222460346118916]","[6.931084632873535, 15.144796371459961]"
Marital Status,Never married,1.0,0.1111111111111111,Top1,Point,0.1111111111111111,Count of persons,59,78,"[-0.04475369556143685, -0.1835734594506874]","[0.022602432111855204, -0.0021051709491875376]","[0.02045149956478159, 0.001879324142273665]","[8.062676429748535, 6.145802021026611]",8.062676429748535,6.145802021026611,"[-0.3825656250878926, 2.037442288434489]","[0.01829466868886323, -0.0060816813883127485]","[-0.05719214033885664, -0.11222460346118923]","[6.459371089935303, 15.302128791809082]"
Birthday,1996,0.9124896627819836,0.1111111111111111,Outlier,Shape,0.1013877403091092,Count of persons,117,78,"[-0.04475369556143689, -0.1835734594506875]","[0.023647341214803188, 0.0005985990129563987]","[0.020451499564781598, 0.001879324142273687]","[8.31861686706543, 5.713097095489502]",8.31861686706543,5.713097095489503,"[-0.3825656250878926, 2.037442288434489]","[0.01829466868886325, -0.0060816813883127355]","[-0.057192140338856126, -0.11222460346118851]","[5.984733581542969, 15.06968879699707]"
Marital Status,Never married,0.9326155288105856,0.1111111111111111,Attribution,Point,0.1036239476456206,Count of persons,167,78,"[-0.04475369556143691, -0.1835734594506875]","[0.023647341214803188, 0.0005985990129563885]","[0.02045149956478162, 0.001879324142273694]","[9.510189056396484, 5.749124050140381]",9.510189056396484,5.749124050140381,"[-0.3825656250878926, 2.037442288434489]","[0.018294668688863234, -0.006081681388312734]","[-0.05719214033885627, -0.11222460346118884]","[6.073336124420166, 14.165482521057129]"
Age Group,Young,0.9522096477271852,0.1111111111111111,Attribution,Point,0.1058010719696872,Count of persons,175,78,"[-0.04475369556143691, -0.1835734594506875]","[0.023647341214803195, 0.0005985990129563885]","[0.020451499564781598, 0.0018793241422736687]","[9.181020736694336, 5.362619876861572]",9.181020736694336,5.362619876861572,"[-0.3825656250878926, 2.037442288434489]","[0.018294668688863234, -0.006081681388312738]","[-0.057192140338856376, -0.11222460346118905]","[6.898455619812012, 13.952735900878906]"
