breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
Year,-1,CO2 (kt),0.5616146129999999,0.014724463,Trend,Shape,0.008269474,0,48,"[0.1967824941839428, -0.052020380561265324]","[0.005415763908574366, -0.003548383350631454]","[0.004238303328980154, -0.0177972901265128]","[3.5598137378692627, 14.099297523498535]",3.5598137378692627,14.099297523498535,"[22.92007519191591, -46.86575904661552]","[0.005786439317735117, -0.0002976191767660124]","[10.47319227928901, 0.7516668195784701]","[1.1199111938476562, 11.83609676361084]"
Year,-1,CO2 (kt),0.300002991,0.029060161,Trend,Shape,0.008718135,1,16212,"[0.1993616931239132, -0.03655771575659112]","[0.005415763908574368, -0.0009599248002409229]","[0.0056702478519806, 0.0009586541506336574]","[0.5652313828468323, 19.347515106201172]",0.5652313828468323,19.34751510620117,"[14.388997862653447, -34.02082951224271]","[0.005786439317735107, -0.003792660932932698]","[-0.18445435027313076, -0.005201468586043655]","[7.347817420959473, 17.55365753173828]"
Year,2003,CO2 (kt),1.0,0.029060161,Change Point,Shape,0.029060161,122,16212,"[0.1851666449831964, -0.07348861717239527]","[0.005415763908574358, -0.0009599248002409256]","[0.0056702478519805935, 0.0009586541506336553]","[0.5678810477256775, 19.35614585876465]",0.5678810477256775,19.35614585876465,"[14.388997862652257, -34.02082951224338]","[0.005786439317735114, -0.003792660932932691]","[-0.1844543502731307, -0.005201468586043655]","[7.342620372772217, 17.555728912353516]"
Year,2006,CO2 (kt),0.9983638490000001,0.029060161,Outlier,Shape,0.029012615,174,16212,"[0.1851666450279508, -0.07348861715558513]","[0.005415763908574365, -0.0009599248002409376]","[0.005670247851980592, 0.0009586541506336555]","[0.5652316212654114, 19.347505569458008]",0.5652316212654114,19.347505569458008,"[14.38899786265328, -34.02082951224287]","[0.0057864393177351195, -0.003792660932932698]","[-0.18445435027313084, -0.00520146858604409]","[7.339913845062256, 17.554670333862305]"
Year,-1,SO2 kt,0.45413750700000005,0.029060161,Trend,Shape,0.0131973089999999,305,16212,"[0.19936169277409385, -0.036557715200079104]","[0.005415763908574369, -0.0009599248002409238]","[0.005670247851980603, 0.0009586541506336582]","[0.5652516484260559, 19.3477783203125]",0.5652516484260559,19.3477783203125,"[14.388997862652477, -34.02082951224319]","[0.005786439317735107, -0.003792660932932701]","[-0.18445435027313067, -0.005201468586043655]","[7.349878311157227, 17.556459426879883]"
Year,1995,SO2 kt,1.0,0.029060161,Change Point,Shape,0.029060161,409,16212,"[0.18516664498214633, -0.07348861717278994]","[0.005415763908574363, -0.0009599248002409137]","[0.005670247851980592, 0.0009586541506336582]","[0.5652369260787964, 19.347530364990234]",0.5652369260787964,19.347530364990234,"[14.388997862653309, -34.020829512242884]","[0.005786439317735115, -0.00379266093293269]","[-0.18445435027313067, -0.00520146858604322]","[7.347153663635254, 17.55486297607422]"
Year,1994,SO2 kt,0.987991235,0.029060161,Outlier,Shape,0.028711185,459,16212,"[0.19936169277099378, -0.036557715195148346]","[0.0054157639085743664, 0.0003439126561588238]","[0.005670247851980598, 0.0009586541506336597]","[0.5652326941490173, 19.347396850585938]",0.5652326941490173,19.347396850585934,"[14.388997862653301, -34.0208295122429]","[0.0057864393177351125, -0.00379266093293269]","[-0.1844543502731309, -0.00520146858604322]","[7.354308128356934, 17.549495697021484]"
Year,-1,CO2 (kt),0.4943221439999999,0.020944698,Trend,Shape,0.010353428000000001,2,36,"[0.19326095734807866, -0.04674343785937411]","[0.005415763908574353, -0.0038812095689806743]","[0.003492103584739713, -0.014070083607639906]","[1.5995376110076904, 13.887956619262695]",1.5995376110076904,13.887956619262695,"[15.979451272866745, -55.06814438314428]","[0.005786439317735116, -0.0004255105540829679]","[9.776109141294212, 0.6988061673928513]","[-1.671717643737793, 11.200297355651855]"
Year,2010,CO2 (kt),0.9579212109999999,0.020944698,Outlier,Shape,0.020063371,150,36,"[0.19326059489302863, -0.04674441222352711]","[0.005415763908574368, -0.003881209568980671]","[0.0034921035847397188, -0.014070083607639904]","[1.5995423793792725, 13.887848854064941]",1.5995423793792725,13.88784885406494,"[15.979450815401501, -55.06814391166913]","[0.005786439317735114, -0.00042551055408296694]","[9.776109141294212, 0.6988061673928477]","[-1.6709537506103516, 11.20020580291748]"
Year,-1,SO2 kt,0.878148264,0.020944698,Trend,Shape,0.01839255,326,36,"[0.19326075077792573, -0.046743993238932975]","[0.005415763908574372, -0.0038812095689806695]","[0.003492103584739715, -0.0140700836076399]","[1.5995429754257202, 13.887459754943848]",1.5995429754257202,13.887459754943848,"[15.97945127278921, -55.068144383064556]","[0.005786439317735116, -0.0004255105540829689]","[9.776109141294214, 0.6988061673928477]","[-1.6718536615371704, 11.200300216674805]"
Year,-1,CO2 (kt),0.565673584,0.015550588,Trend,Shape,0.008796557,3,64,"[0.1968220790765719, -0.052969251705895934]","[0.005415763908574356, -0.002991631754643977]","[0.004114980239557161, -0.015888735165072637]","[3.7227962017059326, 13.896090507507324]",3.7227962017059326,13.896090507507324,"[18.97053347676318, -48.72198512097543]","[0.00578643931773511, 7.521634996263783e-05]","[11.051253879968792, 0.8103662750548672]","[0.5300780534744263, 12.194565773010254]"
Year,-1,CO2 (kt),0.52180262,0.017251434,Trend,Shape,0.009001843,4,31,"[0.19434763208886907, -0.053800734052543896]","[0.005415763908574362, -0.0032353240840485927]","[0.0037766239167460434, -0.015256178348936784]","[3.8044817447662354, 12.993216514587402]",3.8044817447662354,12.993216514587402,"[19.73684348471038, -53.45119970279272]","[0.005786439317735108, -0.0005394825633196018]","[10.75219722259748, 0.7862940894192325]","[-0.7516434192657471, 12.271573066711426]"
