breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
year,-1,0.2306431,0.029085014,trend,shape,0.006708258,PTS,0,182498,"[-0.0737679062837476, -0.20555184688794953]","[-0.005946046817312248, -0.013294604402259982]","[-0.027843527796631188, -0.0014786940254100179]","[-2.898366689682007, 3.9346890449523926]",-2.898366689682007,3.9346890449523926,"[-12.183529157515109, 11.800194315287989]","[-0.006730736164108112, 0.007671063158035263]","[-18.95581280840258, 16.378260158785192]","[-0.3648340702056885, -5.039591312408447]"
year,-1,0.2306431,0.029085014,trend,shape,0.006708258,PTS,1,25278,"[-0.07667864576205471, -0.20515743560990868]","[-0.0059460468173122534, -0.013294604402259972]","[-0.027843527796631188, -0.0014786940254100179]","[-2.8995141983032227, 3.933398485183716]",-2.8995141983032227,3.933398485183716,"[-12.183529157596038, 11.80019431543815]","[-0.006730736164108109, 0.007671063158035277]","[-18.955812808402584, 16.3782601587852]","[-0.36449548602104187, -5.039170742034912]"
lg_name,NBA,0.952209648,0.029085014,attribution,point,0.027695031,PTS,173,25278,"[-0.07371360670868998, -0.20556902776531805]","[-0.005946046817312258, -0.013294604402259972]","[-0.027843527796631188, -0.0014786940254100124]","[-2.8998029232025146, 3.9346351623535156]",-2.8998029232025146,3.9346351623535156,"[-12.183529157519247, 11.800194315295688]","[-0.006730736164108109, 0.007671063158035274]","[-18.955812808402577, 16.37826015878518]","[-0.36483436822891235, -5.039591312408447]"
year,-1,0.288189199,0.027988366,trend,shape,0.008065945,PTS,3,25253,"[-0.08995240510243699, -0.20367445378690935]","[-0.005946046817312267, -0.013294604402259982]","[-0.0005113561105168018, -0.002077755201522442]","[-4.063767433166504, 4.048339366912842]",-4.063767433166504,4.048339366912842,"[-19.678485467582934, 10.090960726737693]","[-0.006730736164108109, 0.007671063158035258]","[9.7915764787141, 19.809108025724672]","[-2.6878128051757812, -7.130443096160889]"
lg_name,NBA,0.952209648,0.027988366,attribution,point,0.026650792,PTS,158,25253,"[-0.08995262744726196, -0.2036744177277705]","[-0.005946046817312268, -0.013294604402259975]","[-0.0005113561105168065, -0.0020777552015224434]","[-4.063767433166504, 4.048338890075684]",-4.063767433166504,4.048338890075684,"[-19.67848546758294, 10.090960726737702]","[-0.0067307361641081006, 0.007671063158035264]","[9.791576478714111, 19.80910802572467]","[-2.686922788619995, -7.12730073928833]"
year,-1,0.157219204,0.042864635,trend,shape,0.006739144,PTS,4,314680,"[-0.058337425974249776, -0.2272775232368408]","[-0.0059460468173122534, -0.013294604402259928]","[0.0015174059471715978, 5.35529989821131e-05]","[-4.363071918487549, 9.185917854309082]",-4.363071918487549,9.185917854309082,"[-36.57243374944771, 17.652102231547072]","[-0.0067307361641081144, 0.007671063158035266]","[0.6755257844912118, -0.4031852627994244]","[-2.4002275466918945, -0.011438455432653427]"
year,1952,1.0,0.042864635,change point,shape,0.042864635,PTS,69,314680,"[-0.05833784344672568, -0.2272775573388932]","[-0.005946046817312256, -0.013294604402259932]","[0.0015174059471715958, 5.355299898211506e-05]","[-4.363071918487549, 9.185917854309082]",-4.363071918487549,9.185917854309082,"[-36.57243374944771, 17.652102231547065]","[-0.006730736164108112, 0.007671063158035257]","[0.6755257844912119, -0.4031852627994246]","[-2.4002275466918945, -0.011438455432653427]"
year,1950,0.999561154,0.042864635,outlier,shape,0.042845825,PTS,122,314680,"[-0.058338773087121286, -0.22727763326979633]","[-0.005946046817312234, -0.013294604402259939]","[0.0015174059471715965, 5.355299898211315e-05]","[-4.364170074462891, 9.187722206115723]",-4.364170074462891,9.187722206115723,"[-36.572433749447704, 17.652102231547065]","[-0.006730736164108114, 0.007671063158035253]","[0.6755257844912137, -0.40318526279942246]","[-2.4002275466918945, -0.011438455432653427]"
lg_name,BAA,0.51193829,0.042864635,attribution,point,0.0219440479999999,PTS,172,314680,"[-0.05833820308136291, -0.2272775867144153]","[-0.005946046817312253, -0.013294604402259932]","[0.0015174059471715971, 5.355299898211363e-05]","[-4.365710258483887, 9.190898895263672]",-4.365710258483887,9.190898895263672,"[-36.57243374944771, 17.652102231547065]","[-0.006730736164108119, 0.007671063158035268]","[0.675525784491211, -0.403185262799424]","[-2.4002275466918945, -0.011438455432653427]"
year,1950,0.999991334,0.042864635,top1,point,0.042864264,PTS,312,314680,"[-0.058339725953720785, -0.22727771108546777]","[-0.0059460468173122595, -0.01329460440225993]","[0.0015174059471715965, 5.355299898211291e-05]","[-4.363071918487549, 9.185917854309082]",-4.363071918487549,9.185917854309082,"[-36.57243374944772, 17.65210223154704]","[-0.006730736164108088, 0.007671063158035261]","[0.6755257844912124, -0.4031852627994253]","[-2.4002275466918945, -0.011438455432653427]"
