breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
Year,-1,0.37696205,0.090186335,trend,shape,0.033996826,Price,0,29781,"[-0.06885919705591063, 0.03000664889982372]","[-0.003605652256564772, -0.0007828778305942215]","[0.00026010500937530707, -0.003969773531355182]","[3.965777635574341, -4.489893436431885]",3.965777635574341,-4.489893436431885,"[-8.811774418886394, 7.7581082869079445]","[-0.00858730046838812, 0.0008467064164362243]","[0.22681319641282455, 0.4869435648399501]","[2.189742088317871, 3.6939122676849365]"
Year,1993,1.0,0.090186335,change point,shape,0.090186335,Price,145,29781,"[-0.06885919705596551, 0.030006648899826554]","[-0.0036055175808607388, -0.0006567965957826119]","[0.000260105009375312, -0.003969773531355193]","[4.47340202331543, -4.652581691741943]",4.47340202331543,-4.652581691741943,"[-8.811761302616933, 7.758129086218899]","[-0.008587300468388117, 0.000846706416436222]","[0.22681319641282568, 0.4869435648399505]","[1.9748077392578125, 3.32239031791687]"
Year,2016,0.999984877,0.090186335,outlier,shape,0.090184972,Price,157,29781,"[-0.06885919730918912, 0.03000664891309846]","[-0.003605517580860737, -0.0006567965957826129]","[0.0002601050093753067, -0.003969773531355183]","[3.965777635574341, -4.489893436431885]",3.965777635574341,-4.489893436431885,"[-8.811774403680728, 7.758108311020978]","[-0.008587300468388123, 0.0008467064164362276]","[0.22681319641282596, 0.4869435648399502]","[2.205730438232422, 3.847907066345215]"
Year,-1,0.231507862,0.090186335,trend,shape,0.020878846,Mileage,340,29781,"[-0.06885919705597641, 0.03000664889982717]","[-0.0036055175808607357, -0.0006567965957826109]","[0.0002601050093753085, -0.003969773531355203]","[4.334075927734375, -4.687036037445068]",4.334075927734375,-4.687036037445068,"[-8.811774403368663, 7.758108311515821]","[-0.008587300468388126, 0.0008467064164362254]","[0.22681319641282582, 0.48694356483995127]","[1.78339684009552, 3.2141613960266113]"
Year,2004,1.0,0.090186335,change point,shape,0.090186335,Mileage,408,29781,"[-0.06885919705612964, 0.030006648899835172]","[-0.0036055175808607353, -0.0006567965957826157]","[0.00026010500937531027, -0.003969773531355174]","[3.965777635574341, -4.489893436431885]",3.965777635574341,-4.489893436431885,"[-8.811761302616933, 7.758129086218899]","[-0.00858730046838812, 0.0008467064164362298]","[0.22681319641282444, 0.4869435648399507]","[2.182769298553467, 3.6608123779296875]"
Year,2008,0.991274989,0.090186335,outlier,shape,0.089399459,Mileage,459,29781,"[-0.06885919705594687, 0.03000664889982551]","[-0.0036056522565647725, -0.0007828778305942156]","[0.0002601050093753067, -0.003969773531355189]","[4.47340202331543, -4.652581691741943]",4.47340202331543,-4.652581691741943,"[-8.811761302616933, 7.758129086218899]","[-0.008587300468388117, 0.0008467064164362276]","[0.22681319641282455, 0.48694356483995116]","[1.7833974361419678, 3.2141616344451904]"
Year,-1,0.484316373,0.070559006,trend,shape,0.034172882,Price,1,27479,"[-0.1206643220574829, 0.10618822863453492]","[-0.004090456784900706, -0.0035112116521627667]","[0.0002585820812840207, -0.003888742866085818]","[-14.399538040161133, 9.794455528259277]",-14.399538040161133,9.794455528259277,"[16.60652872751915, -5.26638394984247]","[-0.003711421915748949, 0.003780512616901083]","[0.2228918483732116, 0.46942123000083774]","[-6.892492771148682, -21.89811134338379]"
Year,-1,0.216105378,0.070559006,trend,shape,0.015248181,Mileage,307,27479,"[-0.1206643220574828, 0.10618822863453499]","[-0.004090456784900703, -0.0035112116521627723]","[0.0002585820812840176, -0.0038887428660858174]","[-14.399369239807129, 9.794315338134766]",-14.399369239807129,9.794315338134766,"[16.60652872751915, -5.26638394984247]","[-0.00371142191574896, 0.003780512616901089]","[0.2228918483732123, 0.4694212300008397]","[-6.892482280731201, -21.898107528686523]"
Year,-1,0.388502199,0.088447205,trend,shape,0.034361934,Price,2,696,"[-0.0001590396015034705, 0.08094301360543461]","[-0.0034130068057614217, 0.001455326761701933]","[-0.2702766810316209, -0.08269244021792004]","[-3.527744770050049, 0.5688217282295227]",-3.527744770050049,0.5688217282295227,"[1.216754622270018, -16.85946389081]","[-0.0038555483004183745, -0.0017178081281221881]","[44.2585808421923, 10.592353843329805]","[6.744903564453125, -10.816643714904785]"
Year,1978,1.0,0.088447205,change point,shape,0.088447205,Price,122,696,"[-0.00015903960148970004, 0.08094301360549967]","[-0.003170316035233895, 0.0023703870870392676]","[-0.2702766810316209, -0.08269244021792002]","[-3.4858624935150146, 0.16278310120105743]",-3.4858624935150146,0.16278310120105743,"[1.2167546224877974, -16.859463890848808]","[-0.0033388363376478593, -0.002443705067381925]","[44.2585808421923, 10.592353843329805]","[7.023684978485107, -10.322668075561523]"
Year,2011,0.999975266,0.088447205,outlier,shape,0.088445017,Price,159,696,"[-0.00015903960147389633, 0.08094301360557372]","[-0.0033489261394140366, 0.001696944740968602]","[-0.270276681031621, -0.08269244021792005]","[-3.5223894119262695, 0.562904417514801]",-3.5223894119262695,0.562904417514801,"[1.2167546224877974, -16.859463890848808]","[-0.003852300127194652, -0.0017166249342765935]","[44.258580842192316, 10.592353843329803]","[7.023684978485107, -10.322668075561523]"
Registration,yes,0.945132119,0.088447205,attribution,point,0.083594294,Price,219,696,"[-0.00015903960150078392, 0.08094301360544714]","[-0.0036204573714667425, 0.0006732772723169295]","[-0.2702766810316209, -0.08269244021792002]","[-3.527744770050049, 0.5688217282295227]",-3.527744770050049,0.5688217282295227,"[1.2167546222700194, -16.859463890810016]","[-0.003338836337647854, -0.002443705067381932]","[44.2585808421923, 10.592353843329803]","[6.744680404663086, -10.816654205322266]"
Year,2015,1.0,0.088447205,change point,shape,0.088447205,Mileage,409,696,"[-0.0001590396014744175, 0.08094301360557156]","[-0.00362045737146674, 0.0006732772723169247]","[-0.2702766810316209, -0.08269244021792004]","[-3.4859561920166016, 0.16210128366947174]",-3.4859561920166016,0.16210128366947174,"[1.2167546222700194, -16.859463890810016]","[-0.0038523001271946506, -0.0017166249342765926]","[44.258580842192316, 10.592353843329803]","[7.023634910583496, -10.657734870910645]"
Year,2000,0.997928924,0.088447205,outlier,shape,0.088264024,Mileage,455,696,"[-0.00015903960150271442, 0.08094301360543807]","[-0.0036204573714667455, 0.0006732772723169286]","[-0.27027668103162095, -0.08269244021792005]","[-3.527744770050049, 0.5688217282295227]",-3.527744770050049,0.5688217282295227,"[1.2167546224877974, -16.859463890848808]","[-0.0034096432630888506, -0.0023832992502509616]","[44.25858084219229, 10.592353843329805]","[6.744680881500244, -10.816654205322266]"
