breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
county,-1,0.978822791,0.018864504,cross measure correlation,compound,0.018465006,cases;deaths,0,116802,"[0.002320567649838153, 0.0014049248233049484]","[-0.005887084729238449, -0.009381004687699104]","[0.0025250384996545095, 0.0005619746615180596]","[9.748332977294922, -0.12759968638420105]",9.748332977294922,-0.12759968638420105,"[32.67139598958528, 1.7572942393381545]","[-0.0030087987365300813, -0.0022297649236818783]","[2.629064245895195, 1.544069635692198]","[0.13158480823040009, 10.410481452941895]"
date,-1,0.998691106,0.018864504,trend,shape,0.018839812,cases,84,116802,"[0.00677550472465401, 0.0009912906931467383]","[-0.005887084729238448, -0.00938100468769909]","[0.0025250384996545095, 0.0005619746615180586]","[9.249467849731445, -0.05314204469323158]",9.249467849731445,-0.05314204469323158,"[32.67139598690835, 1.7572942531345077]","[-0.003008798736530077, -0.0022297649236818736]","[2.629064245895195, 1.544069635692198]","[0.4405907690525055, 10.388940811157227]"
date,2020-06-06T00:00:00.000000000,0.90492472,0.018864504,change point,shape,0.017070956,cases,134,116802,"[0.006775332689317329, 0.000991286478687364]","[-0.005887084729238447, -0.009381004687699087]","[0.002525038499654509, 0.0005619746615180592]","[9.429536819458008, 0.40495118498802185]",9.429536819458008,0.40495118498802185,"[32.67139598686296, 1.757294253368263]","[-0.0030087987365300874, -0.0022297649236819]","[2.629064245895191, 1.5440696356921977]","[0.21349748969078064, 9.738335609436035]"
date,2020-07-31T00:00:00.000000000,0.955147459,0.018864504,outlier,shape,0.018018383,cases,184,116802,"[-0.007897734563793569, 0.018107893397878452]","[-0.00588708472923845, -0.009381004687699089]","[0.0025250384996545108, 0.0005619746615180588]","[9.23251724243164, 0.2271415740251541]",9.23251724243164,0.2271415740251541,"[32.671395990407845, 1.757294235099862]","[-0.0030087987365300765, -0.002229764923681846]","[2.629064245895197, 1.5440696356921977]","[-0.03868735954165459, 9.875953674316406]"
county,New York City,0.5679681520000001,0.018864504,attribution,point,0.010714437,cases,235,116802,"[0.01484286104451626, 0.020816151861405202]","[-0.005887084729238451, -0.009381004687699097]","[0.0025250384996545095, 0.0005619746615180581]","[9.483726501464844, -0.21207371354103088]",9.483726501464844,-0.21207371354103088,"[32.67139598689977, 1.7572942531777835]","[-0.0030087987365300757, -0.0022297649236818844]","[2.629064245895195, 1.5440696356921984]","[0.599734365940094, 10.134658813476562]"
county,-1,1.0,0.018864504,clustering,compound shape,0.018214004,cases;deaths,301,116802,"[0.006775325127593089, 0.0009912862934703666]","[-0.0058870847292384456, -0.009381004687699087]","[0.0025250384996545108, 0.0005619746615180603]","[9.699873924255371, 0.36662012338638306]",9.699873924255371,0.36662012338638306,"[32.671395987501576, 1.757294250076599]","[-0.003008798736530076, -0.0022297649236818658]","[2.629064245895189, 1.5440696356921966]","[0.5110320448875427, 9.840627670288086]"
county,New York City,1.0,0.018864504,top1,point,0.018864504,cases,377,116802,"[-0.007897734561124158, 0.01810789340870532]","[-0.005887084729238452, -0.009381004687699111]","[0.0025250384996545086, 0.0005619746615180583]","[9.845022201538086, 0.12029516696929932]",9.845022201538086,0.12029516696929932,"[32.6713959874934, 1.7572942501192548]","[-0.003008798736530079, -0.0022297649236818796]","[2.629064245895191, 1.544069635692197]","[-0.08778251707553864, 10.185904502868652]"
county,-1,0.975798458,0.019696291,cross measure correlation,compound,0.01921961,cases;deaths,1,116813,"[-0.010760578275178559, 0.013724933934729174]","[-0.006460834247491556, -0.014332443082734311]","[0.0025250384996545125, 0.0005619746615180601]","[-20.33741569519043, 9.502889633178711]",-20.33741569519043,9.502889633178711,"[27.501504553557314, -37.51013302431266]","[-0.003114394053133418, -0.03996332841082795]","[2.629064245895195, 1.544069635692198]","[22.02129364013672, 6.9666218757629395]"
date,-1,0.992098315,0.019696291,cross measure correlation,compound,0.019540657,cases;deaths,11,116813,"[-0.010760578275315411, 0.013724933928130574]","[-0.006460834247491554, -0.014332443082734299]","[0.002525038499654511, 0.0005619746615180588]","[-19.645597457885742, 9.945536613464355]",-19.645597457885742,9.945536613464355,"[27.501504553554486, -37.51013302431679]","[-0.0031143940531334164, -0.03996332841082794]","[2.629064245895193, 1.5440696356921968]","[22.205955505371094, 7.826726913452148]"
date,-1,0.998725767,0.019696291,trend,shape,0.019671193,cases,95,116813,"[-0.010760578275178331, 0.013724933934739388]","[-0.006460834247491554, -0.014332443082734297]","[0.002525038499654509, 0.0005619746615180599]","[-19.730438232421875, 9.639670372009277]",-19.730438232421875,9.639670372009277,"[27.501504553557314, -37.51013302431266]","[-0.0031143940531334177, -0.03996332841082789]","[2.629064245895195, 1.5440696356921972]","[22.382801055908203, 7.496062278747559]"
