breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid
Year,-1,0.038017469,0.018181818,trend,shape,0.000691227,Sales,0
Year,-1,0.015963763,0.054545455,trend,shape,0.000870751,Sales,1
Year,-1,0.002183602,0.4,trend,shape,0.000873441,Sales,2
Year,-1,0.047839407,0.109090909,trend,shape,0.005218844,Sales,3
Year,-1,0.049889674,0.018181818,trend,shape,0.000907085,Sales,4
Year,-1,0.051671078,0.018181818,trend,shape,0.000939474,Sales,5
Year,-1,0.013040069,0.072727273,trend,shape,0.000948369,Sales,6
Year,-1,0.232797509,0.036363636,trend,shape,0.008465364,Sales,7
Year,-1,0.30644848,0.018181818,trend,shape,0.005571791,Sales,8
Year,-1,0.049889674,0.018181818,trend,shape,0.000907085,Sales,9
Year,-1,0.105764937,0.018181818,trend,shape,0.001922999,Sales,10
Year,-1,0.100707423,0.036363636,trend,shape,0.003662088,Sales,11
Year,-1,0.675499151,0.018181818,trend,shape,0.012281803,Sales,12
Year,-1,0.533441565,0.018181818,trend,shape,0.009698938,Sales,13
Year,-1,0.075051013,0.018181818,trend,shape,0.001364564,Sales,14
Year,-1,0.49106286,0.036363636,trend,shape,0.017856831,Sales,15
Year,-1,0.934932848,0.018181818,trend,shape,0.016998779,Sales,16
Year,-1,0.618928801,0.018181818,trend,shape,0.011253251,Sales,17
Year,-1,0.313034239,0.018181818,trend,shape,0.005691532,Sales,18
Year,-1,0.487380453,0.018181818,trend,shape,0.008861463,Sales,19
Year,-1,0.117723734,0.054545455,trend,shape,0.006421295,Sales,20
Year,-1,0.048710726,0.2,trend,shape,0.009742145,Sales,21
Year,-1,0.13650355,0.014545455,trend,shape,0.001985506,Sales,22
Year,-1,0.778075633,0.018181818,trend,shape,0.01414683,Sales,23
Year,-1,0.710348097,0.018181818,trend,shape,0.01291542,Sales,24
Year,-1,0.710803076,0.072727273,trend,shape,0.051694769,Sales,25
Year,-1,0.932174836,0.018181818,trend,shape,0.016948633,Sales,26
Year,-1,0.848279545,0.163636364,trend,shape,0.13880938,Sales,27
Year,-1,0.288653414,0.090909091,trend,shape,0.026241219,Sales,28
Year,-1,0.317862096,0.163636364,trend,shape,0.052013798,Sales,29
Year,-1,0.108691466,0.072727273,trend,shape,0.007904834,Sales,30
Year,-1,0.253718566,1.0,trend,shape,0.253718566,Sales,31
Year,-1,0.41775494,0.054545455,trend,shape,0.022786633,Sales,32
Year,-1,0.798959169,0.036363636,trend,shape,0.029053061,Sales,33
Year,-1,0.222842339,0.127272727,trend,shape,0.028361752,Sales,34
Year,-1,0.932355738,0.127272727,trend,shape,0.118663458,Sales,35
Year,-1,0.85797449,0.018181818,trend,shape,0.015599536,Sales,36
Year,-1,0.5993816,0.021818182,trend,shape,0.013077417,Sales,37
Year,-1,0.794607903,0.036363636,trend,shape,0.028894833,Sales,38
Year,-1,0.892048405,0.090909091,trend,shape,0.08109531,Sales,39
Year,-1,0.771080469,0.018181818,trend,shape,0.014019645,Sales,40
Year,-1,0.747518992,0.036363636,trend,shape,0.027182509,Sales,41
Year,-1,0.566305334,0.018181818,trend,shape,0.010296461,Sales,42
Year,-1,0.899374272,0.018181818,trend,shape,0.016352259,Sales,43
Year,-1,0.947635979,0.018181818,trend,shape,0.017229745,Sales,44
Year,-1,0.943773725,0.036363636,trend,shape,0.034319045,Sales,45
Year,-1,0.39009974,0.072727273,trend,shape,0.02837089,Sales,46
Year,-1,0.72588682,0.090909091,trend,shape,0.065989711,Sales,47
Year,-1,0.495273983,0.036363636,trend,shape,0.018009963,Sales,48
Year,-1,0.302016518,0.141818182,trend,shape,0.042831433,Sales,49
Year,2007,0.479923941,0.018181818,top1,point,0.00872589,Sales,50
Category,Midsize,0.384782535,0.025454545,top1,point,0.009794465,Sales,51
Year,2007,0.257676542,0.036363636,top1,point,0.009370056,Sales,52
Brand,Ford,0.997720349,0.014545455,top1,point,0.014512296,Sales,53
Year,2011,0.553882062,0.018181818,top1,point,0.010070583,Sales,54
Year,2008,0.549648603,0.018181818,top1,point,0.009993611,Sales,55
Category,Compact,0.684886106,0.018181818,top1,point,0.012452475,Sales,56
Category,Midsize,0.57525372,0.025454545,top1,point,0.014642822,Sales,57
Year,2011,0.434766667,0.036363636,top1,point,0.015809697,Sales,58
Year,2007,0.370315842,0.036363636,top1,point,0.013466031,Sales,59
Year,2008,0.302053402,0.036363636,top1,point,0.01098376,Sales,60
Category,Subcompact,0.660146576,0.018181818,top1,point,0.012002665,Sales,61
Category,Midsize,0.125881267,0.127272727,top1,point,0.016021252,Sales,62
Category,Midsize,0.314155442,0.127272727,top1,point,0.03998342,Sales,63
Year,2007,0.363056226,0.036363636,top1,point,0.013202045,Sales,64
Year,2007,0.394994583,0.054545455,top1,point,0.021545159,Sales,65
Category,SUV,0.500800678,0.04,top1,point,0.020032027,Sales,66
Year,2007,0.179931823,0.109090909,top1,point,0.019628926,Sales,67
Year,2007,0.510563839,0.036363636,top1,point,0.018565958,Sales,68
Year,2011,0.20853482,0.072727273,top1,point,0.015166169,Sales,69
Year,2007,0.363439631,0.054545455,top1,point,0.01982398,Sales,70
Brand,Ford,0.991456521,0.014545455,top1,point,0.014421186,Sales,71
Category,SUV,0.295896956,0.04,top1,point,0.011835878,Sales,72
Category,Midsize,0.530042036,0.025454545,top1,point,0.013491979,Sales,73
Year,2007,0.711567344,0.018181818,top1,point,0.012937588,Sales,74
Year,2007,0.36483893,0.127272727,top1,point,0.046434046,Sales,75
Year,2007,0.865054159,0.021818182,top1,point,0.018873909,Sales,76
Year,2007,0.4913484,0.163636364,top1,point,0.080402466,Sales,77
Year,2011,0.35257603,0.127272727,top1,point,0.044873313,Sales,78
Year,2011,0.269586138,0.094545455,top1,point,0.025488144,Sales,79
Brand,Ford,0.998468384,0.014545455,top1,point,0.014523176,Sales,80
Year,2007,0.46135878,1.0,top1,point,0.46135878,Sales,81
Category,SUV,0.10928059,0.2,top1,point,0.021856118,Sales,82
Year,2011,0.332597848,0.2,top1,point,0.06651957,Sales,83
Year,2007,0.42310869,0.141818182,top1,point,0.060004505,Sales,84
Year,2007,0.668954603,0.072727273,top1,point,0.048651244,Sales,85
Brand,Ford,0.997856584,0.072727273,top1,point,0.072571388,Sales,86
Year,2008,0.266508116,0.163636364,top1,point,0.043610419,Sales,87
Year,2007,0.519407929,0.036363636,top1,point,0.018887561,Sales,88
Year,2007,0.219618749,0.4,top1,point,0.0878475,Sales,89
Year,2007,0.263455373,0.090909091,top1,point,0.023950488,Sales,90
Year,2011,0.568177105,0.036363636,top1,point,0.020660986,Sales,91
Year,2007,0.590644524,0.072727273,top1,point,0.042955965,Sales,92
Year,2011,0.423823196,0.090909091,top1,point,0.038529381,Sales,93
Year,2011,0.983263271,0.018181818,top1,point,0.017877514,Sales,94
Category,Compact,0.407406799,0.032727273,top1,point,0.013333313,Sales,95
Brand,Ford,0.998609181,0.014545455,top1,point,0.014525224,Sales,96
Year,2007,0.382897667,0.090909091,top1,point,0.034808879,Sales,97
Year,2011,0.991698028,0.018181818,top1,point,0.018030873,Sales,98
Brand,Ford,0.998483107,0.014545455,top1,point,0.014523391,Sales,99
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,100
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,101
Year,2009,1.0,0.018181818,change point,shape,0.018181818,Sales,102
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,103
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,104
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,105
Year,2010,1.0,0.018181818,change point,shape,0.018181818,Sales,106
Year,2008,1.0,0.021818182,change point,shape,0.021818182,Sales,107
Year,2010,1.0,0.018181818,change point,shape,0.018181818,Sales,108
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,109
Year,2010,1.0,0.018181818,change point,shape,0.018181818,Sales,110
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,111
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,112
Year,2010,1.0,0.072727273,change point,shape,0.072727273,Sales,113
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,114
Year,2008,1.0,0.036363636,change point,shape,0.036363636,Sales,115
Year,2008,1.0,0.036363636,change point,shape,0.036363636,Sales,116
Year,2010,1.0,0.018181818,change point,shape,0.018181818,Sales,117
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,118
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,119
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,120
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,121
Year,2009,1.0,0.036363636,change point,shape,0.036363636,Sales,122
Year,2010,1.0,0.036363636,change point,shape,0.036363636,Sales,123
Year,2010,1.0,0.018181818,change point,shape,0.018181818,Sales,124
Year,2008,1.0,0.141818182,change point,shape,0.141818182,Sales,125
Year,2008,1.0,0.036363636,change point,shape,0.036363636,Sales,126
Year,2009,1.0,0.163636364,change point,shape,0.163636364,Sales,127
Year,2008,1.0,0.090909091,change point,shape,0.090909091,Sales,128
Year,2010,1.0,0.4,change point,shape,0.4,Sales,129
Year,2010,1.0,0.072727273,change point,shape,0.072727273,Sales,130
Year,2008,1.0,1.0,change point,shape,1.0,Sales,131
Year,2008,1.0,0.090909091,change point,shape,0.090909091,Sales,132
Year,2010,1.0,0.127272727,change point,shape,0.127272727,Sales,133
Year,2008,1.0,0.036363636,change point,shape,0.036363636,Sales,134
Year,2008,1.0,0.127272727,change point,shape,0.127272727,Sales,135
Year,2008,1.0,0.054545455,change point,shape,0.054545455,Sales,136
Year,2008,1.0,0.054545455,change point,shape,0.054545455,Sales,137
Year,2010,1.0,0.036363636,change point,shape,0.036363636,Sales,138
Year,2008,1.0,0.163636364,change point,shape,0.163636364,Sales,139
Year,2008,1.0,0.036363636,change point,shape,0.036363636,Sales,140
Year,2010,1.0,0.094545455,change point,shape,0.094545455,Sales,141
Year,2010,1.0,0.018181818,change point,shape,0.018181818,Sales,142
Year,2008,1.0,0.109090909,change point,shape,0.109090909,Sales,143
Year,2010,1.0,0.036363636,change point,shape,0.036363636,Sales,144
Year,2008,1.0,0.054545455,change point,shape,0.054545455,Sales,145
Year,2008,1.0,0.072727273,change point,shape,0.072727273,Sales,146
Year,2010,1.0,0.2,change point,shape,0.2,Sales,147
Year,2008,1.0,0.072727273,change point,shape,0.072727273,Sales,148
Year,2010,1.0,0.090909091,change point,shape,0.090909091,Sales,149
Year,2008,0.89170891,0.018181818,outlier,shape,0.016212889,Sales,150
Year,2007,0.907153587,0.018181818,outlier,shape,0.016493702,Sales,151
Year,2007,0.915370192,0.018181818,outlier,shape,0.016643094,Sales,152
Year,2010,0.909549455,0.018181818,outlier,shape,0.016537263,Sales,153
Year,2007,0.927057586,0.018181818,outlier,shape,0.016855592,Sales,154
Year,2011,0.943734722,0.018181818,outlier,shape,0.017158813,Sales,155
Year,2011,0.933254201,0.018181818,outlier,shape,0.016968258,Sales,156
Year,2007,0.975301044,0.021818182,outlier,shape,0.021279295,Sales,157
Year,2011,0.933569379,0.018181818,outlier,shape,0.016973989,Sales,158
Year,2008,0.928486425,0.018181818,outlier,shape,0.016881571,Sales,159
Year,2007,0.928301618,0.018181818,outlier,shape,0.016878211,Sales,160
Year,2008,0.961971544,0.018181818,outlier,shape,0.017490392,Sales,161
Year,2007,0.970201531,0.018181818,outlier,shape,0.017640028,Sales,162
Year,2011,0.911442867,0.072727273,outlier,shape,0.066286754,Sales,163
Year,2011,0.977185804,0.018181818,outlier,shape,0.017767015,Sales,164
Year,2007,0.952686513,0.036363636,outlier,shape,0.034643146,Sales,165
Year,2008,0.927154309,0.036363636,outlier,shape,0.033714702,Sales,166
Year,2011,0.964649784,0.018181818,outlier,shape,0.017539087,Sales,167
Year,2009,0.936279351,0.018181818,outlier,shape,0.017023261,Sales,168
Year,2007,0.951052171,0.018181818,outlier,shape,0.017291858,Sales,169
Year,2007,0.933671743,0.018181818,outlier,shape,0.01697585,Sales,170
Year,2008,0.928486425,0.018181818,outlier,shape,0.016881571,Sales,171
Year,2007,0.875890727,0.036363636,outlier,shape,0.031850572,Sales,172
Year,2011,0.964375462,0.036363636,outlier,shape,0.035068199,Sales,173
Year,2011,0.957020388,0.036363636,outlier,shape,0.034800741,Sales,174
Year,2007,0.917956461,0.141818182,outlier,shape,0.130182916,Sales,175
Year,2007,0.936437944,0.036363636,outlier,shape,0.034052289,Sales,176
Year,2008,0.910496272,0.163636364,outlier,shape,0.148990299,Sales,177
Year,2011,0.952029557,0.090909091,outlier,shape,0.086548142,Sales,178
Year,2007,0.903971956,0.4,outlier,shape,0.361588782,Sales,179
Year,2011,0.907375191,0.072727273,outlier,shape,0.065990923,Sales,180
Year,2007,0.94437105,1.0,outlier,shape,0.94437105,Sales,181
Year,2011,0.853580259,0.094545455,outlier,shape,0.080702134,Sales,182
Year,2011,0.929861897,0.127272727,outlier,shape,0.11834606,Sales,183
Year,2007,0.959414881,0.036363636,outlier,shape,0.034887814,Sales,184
Year,2007,0.940569121,0.127272727,outlier,shape,0.119708797,Sales,185
Year,2007,0.938314786,0.054545455,outlier,shape,0.051180806,Sales,186
Year,2007,0.948313291,0.054545455,outlier,shape,0.05172618,Sales,187
Year,2007,0.914535876,0.036363636,outlier,shape,0.03325585,Sales,188
Year,2007,0.95566185,0.163636364,outlier,shape,0.15638103,Sales,189
Year,2007,0.96318394,0.036363636,outlier,shape,0.035024871,Sales,190
Year,2007,0.898159854,0.090909091,outlier,shape,0.081650896,Sales,191
Year,2011,0.976962688,0.018181818,outlier,shape,0.017762958,Sales,192
Year,2007,0.913833439,0.109090909,outlier,shape,0.099690921,Sales,193
Year,2007,0.942185897,0.018181818,outlier,shape,0.017130653,Sales,194
Year,2011,0.923642139,0.054545455,outlier,shape,0.05038048,Sales,195
Year,2007,0.966599498,0.072727273,outlier,shape,0.070298145,Sales,196
Year,2011,0.926779354,0.2,outlier,shape,0.185355871,Sales,197
Year,2007,0.967145638,0.072727273,outlier,shape,0.070337865,Sales,198
Year,2007,0.931593855,0.090909091,outlier,shape,0.08469035,Sales,199
Brand,Mazda,0.952209648,0.003636364,attribution,point,0.003462581,Sales,200
Brand,Mazda,0.952209648,0.003636364,attribution,point,0.003462581,Sales,201
Brand,Mazda,0.952209648,0.003636364,attribution,point,0.003462581,Sales,202
Brand,Mazda,0.952209648,0.003636364,attribution,point,0.003462581,Sales,203
Brand,Ford,0.906019926,0.010909091,attribution,point,0.009883854,Sales,204
Brand,GMC,0.733299701,0.010909091,attribution,point,0.007999633,Sales,205
Brand,Mazda,0.952209648,0.003636364,attribution,point,0.003462581,Sales,206
Brand,GMC,0.784132175,0.010909091,attribution,point,0.008554169,Sales,207
Brand,GMC,0.738358091,0.010909091,attribution,point,0.008054816,Sales,208
Category,Pickup,0.522147189,0.021818182,attribution,point,0.011392302,Sales,209
Category,Compact,0.577300852,0.018181818,attribution,point,0.010496379,Sales,210
Brand,GMC,0.806122792,0.010909091,attribution,point,0.008794067,Sales,211
Category,Compact,0.580834739,0.018181818,attribution,point,0.010560632,Sales,212
Brand,Ford,0.905070078,0.010909091,attribution,point,0.009873492,Sales,213
Brand,GMC,0.761522604,0.010909091,attribution,point,0.008307519,Sales,214
Brand,Ford,0.827475116,0.014545455,attribution,point,0.012036002,Sales,215
Brand,Ford,0.912578871,0.010909091,attribution,point,0.009955406,Sales,216
Brand,Ford,0.904247189,0.010909091,attribution,point,0.009864515,Sales,217
Brand,Ford,0.907306127,0.010909091,attribution,point,0.009897885,Sales,218
Category,SUV,0.51091271,0.109090909,attribution,point,0.055735932,Sales,219
Category,Pickup,0.552459625,0.021818182,attribution,point,0.012053665,Sales,220
Brand,Ford,0.848154067,0.014545455,attribution,point,0.012336786,Sales,221
Brand,Ford,0.859582056,0.014545455,attribution,point,0.012503012,Sales,222
Brand,Ford,0.907210814,0.054545455,attribution,point,0.049484226,Sales,223
Category,Compact,0.515046409,0.018181818,attribution,point,0.00936448,Sales,224
Category,Compact,0.67932406,0.032727273,attribution,point,0.022232424,Sales,225
Category,SUV,0.590060064,0.021818182,attribution,point,0.012874038,Sales,226
Brand,GMC,0.770125462,0.054545455,attribution,point,0.042006843,Sales,227
Brand,Ford,0.878965229,0.014545455,attribution,point,0.012784949,Sales,228
Category,Pickup,0.575382448,0.021818182,attribution,point,0.012553799,Sales,229
Category,Compact,0.519646559,0.018181818,attribution,point,0.009448119,Sales,230
Brand,Ford,0.853014787,0.072727273,attribution,point,0.062037439,Sales,231
Category,SUV,0.608954734,0.021818182,attribution,point,0.013286285,Sales,232
Brand,Mazda,0.952209648,0.018181818,attribution,point,0.017312903,Sales,233
Brand,Ford,0.860858326,0.014545455,attribution,point,0.012521576,Sales,234
Category,Compact,0.534577231,0.090909091,attribution,point,0.04859793,Sales,235
Year,2011,0.621458428,0.018181818,attribution,point,0.011299244,Sales,236
