date,county,state,cases,deaths,cid
2021/1/20,Autauga,Alabama,5257,55,0
2021/1/20,Baldwin,Alabama,16653,184,1
2021/1/20,Barbour,Alabama,1760,36,2
2021/1/20,Bibb,Alabama,2188,47,3
2021/1/20,Blount,Alabama,5376,83,4
2021/1/20,Bullock,Alabama,1011,28,5
2021/1/20,Butler,Alabama,1708,58,6
2021/1/20,Calhoun,Alabama,11292,201,7
2021/1/20,Chambers,Alabama,2931,70,8
2021/1/20,Cherokee,Alabama,1619,30,9
2021/1/20,Chilton,Alabama,3389,66,10
2021/1/20,Choctaw,Alabama,516,24,11
2021/1/20,Clarke,Alabama,2878,33,12
2021/1/20,Clay,Alabama,1276,45,13
2021/1/20,Cleburne,Alabama,1190,23,14
2021/1/20,Coffee,Alabama,4504,56,15
2021/1/20,Colbert,Alabama,5398,73,16
2021/1/20,Conecuh,Alabama,957,20,17
2021/1/20,Coosa,Alabama,610,15,18
2021/1/20,Covington,Alabama,3326,68,19
2021/1/20,Crenshaw,Alabama,1215,44,20
2021/1/20,Cullman,Alabama,8125,106,21
2021/1/20,Dale,Alabama,4029,81,22
2021/1/20,Dallas,Alabama,3088,96,23
2021/1/20,DeKalb,Alabama,7765,99,24
2021/1/20,Elmore,Alabama,7999,104,25
2021/1/20,Escambia,Alabama,3260,43,26
2021/1/20,Etowah,Alabama,11861,176,27
2021/1/20,Fayette,Alabama,1729,28,28
2021/1/20,Franklin,Alabama,3699,48,29
2021/1/20,Geneva,Alabama,2054,46,30
2021/1/20,Greene,Alabama,766,23,31
2021/1/20,Hale,Alabama,1795,42,32
2021/1/20,Henry,Alabama,1565,23,33
2021/1/20,Houston,Alabama,8746,156,34
2021/1/20,Jackson,Alabama,5863,41,35
2021/1/20,Jefferson,Alabama,63040,956,36
2021/1/20,Lamar,Alabama,1190,21,37
2021/1/20,Lauderdale,Alabama,7686,98,38
2021/1/20,Lawrence,Alabama,2466,49,39
2021/1/20,Lee,Alabama,12749,102,40
2021/1/20,Limestone,Alabama,8132,76,41
2021/1/20,Lowndes,Alabama,1120,36,42
2021/1/20,Macon,Alabama,1186,37,43
2021/1/20,Madison,Alabama,27486,201,44
2021/1/20,Marengo,Alabama,2028,29,45
2021/1/20,Marion,Alabama,2489,53,46
2021/1/20,Marshall,Alabama,10290,113,47
2021/1/20,Mobile,Alabama,30794,557,48
2021/1/20,Monroe,Alabama,1498,18,49
2021/1/20,Montgomery,Alabama,19352,315,50
2021/1/20,Morgan,Alabama,12389,119,51
2021/1/20,Perry,Alabama,990,19,52
2021/1/20,Pickens,Alabama,1975,31,53
2021/1/20,Pike,Alabama,2552,30,54
2021/1/20,Randolph,Alabama,1421,35,55
2021/1/20,Russell,Alabama,3407,11,56
2021/1/20,Shelby,Alabama,18833,120,57
2021/1/20,St. Clair,Alabama,7651,121,58
2021/1/20,Sumter,Alabama,896,26,59
2021/1/20,Talladega,Alabama,6309,108,60
2021/1/20,Tallapoosa,Alabama,2641,107,61
2021/1/20,Tuscaloosa,Alabama,20996,268,62
2021/1/20,Walker,Alabama,5954,174,63
2021/1/20,Washington,Alabama,1391,26,64
2021/1/20,Wilcox,Alabama,1051,21,65
2021/1/20,Winston,Alabama,2295,35,66
2021/1/20,Kent,Delaware,11620,187,67
2021/1/20,New Castle,Delaware,41012,518,68
2021/1/20,Sussex,Delaware,18977,321,69
2021/1/20,Unknown,Delaware,166,0,70
2021/1/20,Alachua,Florida,19136,156,71
2021/1/20,Baker,Florida,2869,41,72
2021/1/20,Bay,Florida,14381,257,73
2021/1/20,Bradford,Florida,2534,29,74
2021/1/20,Brevard,Florida,26735,594,75
2021/1/20,Broward,Florida,161624,1998,76
2021/1/20,Calhoun,Florida,1455,33,77
2021/1/20,Charlotte,Florida,9138,271,78
2021/1/20,Citrus,Florida,8036,319,79
2021/1/20,Clay,Florida,14286,221,80
2021/1/20,Collier,Florida,26164,382,81
2021/1/20,Columbia,Florida,6921,134,82
2021/1/20,DeSoto,Florida,3241,67,83
2021/1/20,Dixie,Florida,1328,12,84
