Year,State,Producer Type,Energy Source,CO2 (kt),SO2 kt,cid
1990,AK,Commercial Cogen,Coal,821.929,13.191,0
1991,AK,Commercial Cogen,Coal,848.745,8.359,1
1992,AK,Commercial Cogen,Coal,860.878,8.469,2
1993,AK,Commercial Cogen,Coal,858.244,8.393,3
1994,AK,Commercial Cogen,Coal,866.661,8.88,4
1995,AK,Commercial Cogen,Coal,883.639,7.824,5
1996,AK,Commercial Cogen,Coal,855.508,7.927,6
1997,AK,Commercial Cogen,Coal,900.737,8.132,7
1998,AK,Commercial Cogen,Coal,640.626,4.802,8
1999,AK,Commercial Cogen,Coal,658.91,4.702,9
2000,AK,Commercial Cogen,Coal,647.281,3.813,10
2001,AK,Commercial Cogen,Coal,595.987,0.714,11
2002,AK,Commercial Cogen,Coal,390.357,0.621,12
2003,AK,Commercial Cogen,Coal,703.098,1.29,13
2004,AK,Commercial Cogen,Coal,705.588,0.901,14
2005,AK,Commercial Cogen,Coal,699.467,1.401,15
2006,AK,Commercial Cogen,Coal,692.025,1.422,16
2007,AK,Commercial Cogen,Coal,704.9,1.455,17
2008,AK,Commercial Cogen,Coal,750.852,1.791,18
2009,AK,Commercial Cogen,Coal,720.938,1.713,19
2010,AK,Commercial Cogen,Coal,723.229,1.615,20
2011,AK,Commercial Cogen,Coal,827.001,1.744,21
2012,AK,Commercial Cogen,Coal,830.471,1.788,22
2013,AK,Commercial Cogen,Coal,349.232,0.775,23
2014,AK,Commercial Cogen,Coal,341.306,0.702,24
2015,AK,Commercial Cogen,Coal,345.371,0.701,25
1991,AK,Commercial Cogen,Natural Gas,0,0.002,26
1992,AK,Commercial Cogen,Natural Gas,0,0,27
2007,AK,Commercial Cogen,Natural Gas,0.552,0,28
2010,AK,Commercial Cogen,Natural Gas,0.789,0,29
2011,AK,Commercial Cogen,Natural Gas,3.394,0,30
2012,AK,Commercial Cogen,Natural Gas,3.053,0,31
2013,AK,Commercial Cogen,Natural Gas,11.874,0,32
2014,AK,Commercial Cogen,Natural Gas,2.98,0,33
1990,AK,Commercial Cogen,Petroleum,2.075,0.006,34
1991,AK,Commercial Cogen,Petroleum,2.677,0.008,35
1992,AK,Commercial Cogen,Petroleum,2.542,0.008,36
1993,AK,Commercial Cogen,Petroleum,1.509,0.005,37
1994,AK,Commercial Cogen,Petroleum,7.849,0.025,38
1995,AK,Commercial Cogen,Petroleum,3.865,0.008,39
1996,AK,Commercial Cogen,Petroleum,3.735,0.008,40
1997,AK,Commercial Cogen,Petroleum,33.821,0.07,41
1998,AK,Commercial Cogen,Petroleum,0.805,0.002,42
1999,AK,Commercial Cogen,Petroleum,7.43,0.018,43
2000,AK,Commercial Cogen,Petroleum,10.798,0.025,44
2001,AK,Commercial Cogen,Petroleum,4.017,0.018,45
2002,AK,Commercial Cogen,Petroleum,14.233,0.036,46
2003,AK,Commercial Cogen,Petroleum,11.546,0.028,47
2004,AK,Commercial Cogen,Petroleum,17.57,0.049,48
2005,AK,Commercial Cogen,Petroleum,14.246,0.034,49
2006,AK,Commercial Cogen,Petroleum,10.279,0.03,50
2007,AK,Commercial Cogen,Petroleum,13.481,0.032,51
2008,AK,Commercial Cogen,Petroleum,9.177,0.034,52
2009,AK,Commercial Cogen,Petroleum,13.261,0.034,53
2010,AK,Commercial Cogen,Petroleum,9.98,0.007,54
2011,AK,Commercial Cogen,Petroleum,4.87,0.003,55
2012,AK,Commercial Cogen,Petroleum,10.431,0,56
2013,AK,Commercial Cogen,Petroleum,7.749,0.014,57
2014,AK,Commercial Cogen,Petroleum,5.24,0.009,58
2015,AK,Commercial Cogen,Petroleum,10.25,0.018,59
1997,AK,Commercial Cogen,Wood and Wood Derived Fuels,0,0,60
2003,AK,Commercial Cogen,Wood and Wood Derived Fuels,0,0,61
2005,AK,Commercial Cogen,Wood and Wood Derived Fuels,0,0,62
2006,AK,Commercial Cogen,Wood and Wood Derived Fuels,0,0,63
2007,AK,Commercial Cogen,Wood and Wood Derived Fuels,0,0,64
1990,AR,Commercial Cogen,Natural Gas,21.142,0,65
1991,AR,Commercial Cogen,Natural Gas,23.421,0,66
1992,AR,Commercial Cogen,Natural Gas,23.588,0,67
1993,AR,Commercial Cogen,Natural Gas,24.863,0,68
1994,AR,Commercial Cogen,Natural Gas,23.952,0,69
1995,AR,Commercial Cogen,Natural Gas,24.941,0,70
1996,AR,Commercial Cogen,Natural Gas,25.145,0,71
1997,AR,Commercial Cogen,Natural Gas,25.456,0,72
1998,AR,Commercial Cogen,Natural Gas,24.964,0,73
1999,AR,Commercial Cogen,Natural Gas,5.866,0,74
2000,AR,Commercial Cogen,Natural Gas,4.199,0,75
2001,AR,Commercial Cogen,Natural Gas,3.815,0,76
2002,AR,Commercial Cogen,Natural Gas,3.389,0,77
2003,AR,Commercial Cogen,Natural Gas,1.187,0,78
2008,AR,Commercial Cogen,Natural Gas,0.367,0,79
2009,AR,Commercial Cogen,Natural Gas,0.492,0,80
2010,AR,Commercial Cogen,Natural Gas,0.574,0,81
2011,AR,Commercial Cogen,Natural Gas,0.249,0,82
2012,AR,Commercial Cogen,Natural Gas,0.376,0,83
2013,AR,Commercial Cogen,Natural Gas,0.594,0,84
2014,AR,Commercial Cogen,Natural Gas,1.266,0,85
2015,AR,Commercial Cogen,Natural Gas,1.623,0,86
1990,AR,Commercial Cogen,Other,0,0,87
1991,AR,Commercial Cogen,Other,0,0,88
1992,AR,Commercial Cogen,Other,0,0,89
1993,AR,Commercial Cogen,Other,0,0,90
1994,AR,Commercial Cogen,Other,0,0,91
1995,AR,Commercial Cogen,Other Biomass,0,0,92
1996,AR,Commercial Cogen,Other Biomass,0,0,93
1997,AR,Commercial Cogen,Other Biomass,0,0,94
1998,AR,Commercial Cogen,Other Biomass,0,0,95
1999,AR,Commercial Cogen,Other Biomass,0,0,96
2000,AR,Commercial Cogen,Other Biomass,0,0,97
2001,AR,Commercial Cogen,Other Biomass,0,0,98
2008,AR,Commercial Cogen,Other Biomass,0,0,99
2009,AR,Commercial Cogen,Other Biomass,0,0,100
2010,AR,Commercial Cogen,Other Biomass,0,0,101
2011,AR,Commercial Cogen,Other Biomass,0,0,102
2012,AR,Commercial Cogen,Other Biomass,0,0,103
2013,AR,Commercial Cogen,Other Biomass,0,0,104
