Year,Brand,Category,Sales,cid
2007,BMW,Compact,142490,0
2008,BMW,Compact,112464,1
2009,BMW,Compact,90960,2
2010,BMW,Compact,100910,3
2011,BMW,Compact,94371,4
2007,BMW,Compact,54142,5
2007,BMW,Fullsize,14773,6
2008,BMW,Fullsize,12276,7
2009,BMW,Fullsize,9254,8
2010,BMW,Fullsize,12253,9
2011,BMW,Fullsize,11299,10
2008,BMW,Midsize,45915,11
2009,BMW,Midsize,40109,12
2010,BMW,Midsize,39488,13
2011,BMW,Midsize,51491,14
2007,BMW,Sporty,9033,15
2008,BMW,Sporty,6533,16
2009,BMW,Sporty,3549,17
2010,BMW,Sporty,2418,18
2011,BMW,Sporty,3903,19
2007,BMW,Sporty,10097,20
2008,BMW,Sporty,5879,21
2009,BMW,Sporty,3523,22
2010,BMW,Sporty,3804,23
2011,BMW,Sporty,3479,24
2007,BMW,Subcompact,11018,25
2008,BMW,Subcompact,12018,26
2009,BMW,Subcompact,11182,27
2010,BMW,Subcompact,13132,28
2011,BMW,Subcompact,8832,29
2007,BMW,SUV,28058,30
2008,BMW,SUV,17622,31
2009,BMW,SUV,6067,32
2010,BMW,SUV,6075,33
2011,BMW,SUV,27793,34
2007,BMW,SUV,35202,35
2008,BMW,SUV,31858,36
2009,BMW,SUV,27071,37
2010,BMW,SUV,35776,38
2011,BMW,SUV,40547,39
2007,BMW,SUV,2548,40
2008,BMW,SUV,4548,41
2009,BMW,SUV,4787,42
2010,BMW,SUV,6257,43
2011,BMW,SUV,6192,44
2007,Ford,Compact,173213,45
2008,Ford,Compact,195823,46
2009,Ford,Compact,160433,47
2010,Ford,Compact,172421,48
2011,Ford,Compact,175717,49
2007,Ford,Fullsize,60901,50
2008,Ford,Fullsize,48557,51
2009,Ford,Fullsize,33255,52
2010,Ford,Fullsize,33722,53
2011,Ford,Fullsize,46725,54
2007,Ford,Fullsize,68178,55
2008,Ford,Fullsize,52667,56
2009,Ford,Fullsize,45617,57
2010,Ford,Fullsize,68859,58
2011,Ford,Fullsize,63526,59
2007,Ford,Midsize,149552,60
2008,Ford,Midsize,147569,61
2009,Ford,Midsize,180671,62
2010,Ford,Midsize,219219,63
2011,Ford,Midsize,248067,64
2007,Ford,Pickup,72711,65
2008,Ford,Pickup,65872,66
2009,Ford,Pickup,55600,67
2010,Ford,Pickup,55364,68
2011,Ford,Pickup,70832,69
2007,Ford,Sporty,134626,70
2008,Ford,Sporty,91251,71
2009,Ford,Sporty,66623,72
2010,Ford,Sporty,73716,73
2011,Ford,Sporty,70438,74
2007,Ford,Subcompact,21273,75
2008,Ford,Subcompact,22273,76
2009,Ford,Subcompact,22473,77
2010,Ford,Subcompact,23273,78
2011,Ford,Subcompact,68574,79
2007,Ford,SUV,130125,80
2008,Ford,SUV,110798,81
2009,Ford,SUV,88548,82
2010,Ford,SUV,118637,83
2011,Ford,SUV,121702,84
2007,Ford,SUV,165596,85
2008,Ford,SUV,156544,86
2009,Ford,SUV,173044,87
2010,Ford,SUV,191026,88
2011,Ford,SUV,254293,89
2007,Ford,SUV,90287,90
2008,Ford,SUV,55123,91
2009,Ford,SUV,31655,92
2010,Ford,SUV,37336,93
2011,Ford,SUV,40499,94
2007,Ford,SUV,137817,95
2008,Ford,SUV,78439,96
2009,Ford,SUV,52190,97
2010,Ford,SUV,60687,98
2011,Ford,SUV,135704,99
2007,GMC,Pickup,20888,100
2008,GMC,Pickup,14974,101
2009,GMC,Pickup,10107,102
2010,GMC,Pickup,7992,103
2011,GMC,Pickup,9590,104
2007,GMC,Pickup,208243,105
2008,GMC,Pickup,168544,106
2009,GMC,Pickup,111842,107
2010,GMC,Pickup,129794,108
2011,GMC,Pickup,149170,109
2007,GMC,SUV,72765,110
2008,GMC,SUV,66440,111
2009,GMC,SUV,53820,112
2010,GMC,SUV,68295,113
2011,GMC,SUV,79288,114
2007,GMC,SUV,14033,115
2008,GMC,SUV,14033,116
2009,GMC,SUV,14033,117
2010,GMC,SUV,60519,118
2011,GMC,SUV,83179,119
2007,GMC,SUV,63428,120
2008,GMC,SUV,39064,121
2009,GMC,SUV,29411,122
2010,GMC,SUV,28781,123
2011,GMC,SUV,34250,124
2007,GMC,SUV,45303,125
2008,GMC,SUV,26404,126
2009,GMC,SUV,16819,127
2010,GMC,SUV,23797,128
2011,GMC,SUV,25223,129
2007,Honda,Midsize,392231,130
2008,Honda,Midsize,372789,131
2009,Honda,Midsize,287492,132
2010,Honda,Midsize,282530,133
2011,Honda,Midsize,235625,134
2007,Honda,Subcompact,331095,135
2008,Honda,Subcompact,339289,136
2009,Honda,Subcompact,259722,137
2010,Honda,Subcompact,260218,138
2011,Honda,Subcompact,221235,139
2007,Honda,Subcompact,56432,140
2008,Honda,Subcompact,79794,141
2009,Honda,Subcompact,67315,142
2010,Honda,Subcompact,54354,143
2011,Honda,Subcompact,59235,144
2007,Honda,SUV,219160,145
2008,Honda,SUV,197279,146
2009,Honda,SUV,191214,147
2010,Honda,SUV,203714,148
2011,Honda,SUV,218373,149
2007,Honda,SUV,35218,150
2008,Honda,SUV,26447,151
2009,Honda,SUV,14884,152
2010,Honda,SUV,14247,153
2011,Honda,SUV,11534,154
2007,Hyundai,Compact,85724,155
2008,Hyundai,Compact,94720,156
2009,Hyundai,Compact,103269,157
2010,Hyundai,Compact,132246,158
2011,Hyundai,Compact,186361,159
2007,Hyundai,Midsize,145568,160
2008,Hyundai,Midsize,117357,161
2009,Hyundai,Midsize,120028,162
2010,Hyundai,Midsize,196623,163
2011,Hyundai,Midsize,225961,164
2007,Hyundai,Subcompact,36055,165
2008,Hyundai,Subcompact,50431,166
2009,Hyundai,Subcompact,68086,167
2010,Hyundai,Subcompact,51975,168
2011,Hyundai,Subcompact,55601,169
2007,Hyundai,SUV,92421,170
2008,Hyundai,SUV,70994,171
2009,Hyundai,SUV,80343,172
2010,Hyundai,SUV,76680,173
2011,Hyundai,SUV,74391,174
2007,Hyundai,SUV,41476,175
2008,Hyundai,SUV,19027,176
2009,Hyundai,SUV,15411,177
2010,Hyundai,SUV,39594,178
2011,Hyundai,SUV,47232,179
2007,Mazda,Compact,120291,180
2008,Mazda,Compact,109957,181
2009,Mazda,Compact,96466,182
2010,Mazda,Compact,106353,183
2011,Mazda,Compact,102417,184
2007,Mazda,Midsize,57575,185
2008,Mazda,Midsize,52590,186
2009,Mazda,Midsize,34866,187
2010,Mazda,Midsize,35662,188
2011,Mazda,Midsize,35711,189
2007,Mazda,MPV,13717,190
2008,Mazda,MPV,22021,191
2009,Mazda,MPV,18488,192
2010,Mazda,MPV,15683,193
2011,Mazda,MPV,19155,194
2007,Mazda,Subcompact,2021,195
2008,Mazda,Subcompact,2221,196
2009,Mazda,Subcompact,2321,197
2010,Mazda,Subcompact,3021,198
2011,Mazda,Subcompact,13952,199
2007,Mazda,SUV,41653,200
2008,Mazda,SUV,26811,201
2009,Mazda,SUV,20583,202
2010,Mazda,SUV,28788,203
2011,Mazda,SUV,35641,204
2007,Toyota,Midsize,473108,205
2008,Toyota,Midsize,436617,206
2009,Toyota,Midsize,356824,207
2010,Toyota,Midsize,327804,208
2011,Toyota,Midsize,308510,209
2007,Toyota,Subcompact,371390,210
2008,Toyota,Subcompact,351007,211
2009,Toyota,Subcompact,296874,212
2010,Toyota,Subcompact,266082,213
2011,Toyota,Subcompact,240259,214
2007,Toyota,Subcompact,84799,215
2008,Toyota,Subcompact,102328,216
2009,Toyota,Subcompact,63743,217
2010,Toyota,Subcompact,40076,218
2011,Toyota,Subcompact,32704,219
2007,Toyota,SUV,87718,220
2008,Toyota,SUV,47878,221
2009,Toyota,SUV,19675,222
2010,Toyota,SUV,46531,223
2011,Toyota,SUV,44316,224
2007,Toyota,SUV,127878,225
2008,Toyota,SUV,104661,226
2009,Toyota,SUV,83118,227
2010,Toyota,SUV,92121,228
2011,Toyota,SUV,101252,229
2007,Toyota,SUV,3251,230
2008,Toyota,SUV,3801,231
2009,Toyota,SUV,2261,232
2010,Toyota,SUV,1807,233
2011,Toyota,SUV,1662,234
2007,Toyota,SUV,172752,235
2008,Toyota,SUV,137020,236
2009,Toyota,SUV,149088,237
2010,Toyota,SUV,170877,238
2011,Toyota,SUV,132237,239
2007,Volkswagen,Compact,16399,240
2008,Volkswagen,Compact,15338,241
2009,Volkswagen,Compact,15752,242
2010,Volkswagen,Compact,28286,243
2011,Volkswagen,Compact,34706,244
2007,Volkswagen,Midsize,2105,245
2008,Volkswagen,Midsize,2105,246
2009,Volkswagen,Midsize,23872,247
2010,Volkswagen,Midsize,27987,248
2011,Volkswagen,Midsize,29502,249
2007,Volkswagen,Midsize,37183,250
2008,Volkswagen,Midsize,30034,251
2009,Volkswagen,Midsize,11138,252
2010,Volkswagen,Midsize,12497,253
2011,Volkswagen,Midsize,22835,254
2007,Volkswagen,Sporty,12744,255
2008,Volkswagen,Sporty,12837,256
2009,Volkswagen,Sporty,7204,257
2010,Volkswagen,Sporty,6690,258
2011,Volkswagen,Sporty,7533,259
2007,Volkswagen,Subcompact,31021,260
2008,Volkswagen,Subcompact,26477,261
2009,Volkswagen,Subcompact,14085,262
2010,Volkswagen,Subcompact,16537,263
2011,Volkswagen,Subcompact,6468,264
2007,Volkswagen,SUV,8864,265
2008,Volkswagen,SUV,8864,266
2009,Volkswagen,SUV,13903,267
2010,Volkswagen,SUV,20946,268
2011,Volkswagen,SUV,25990,269
2007,Volkswagen,SUV,8812,270
2008,Volkswagen,SUV,6755,271
2009,Volkswagen,SUV,4392,272
2010,Volkswagen,SUV,4713,273
2011,Volkswagen,SUV,7535,274
