Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model,cid
BMW,4200.0,sedan,277,2.0,Petrol,yes,1991,320,0
Mercedes-Benz,7900.0,van,427,2.9,Diesel,yes,1999,Sprinter 212,1
Mercedes-Benz,13300.0,sedan,358,5.0,Gas,yes,2003,S 500,2
Audi,23000.0,crossover,240,4.2,Petrol,yes,2007,Q7,3
Toyota,18300.0,crossover,120,2.0,Petrol,yes,2011,Rav 4,4
Mercedes-Benz,199999.0,crossover,0,5.5,Petrol,yes,2016,GLS 63,5
BMW,6100.0,sedan,438,2.0,Gas,yes,1997,320,6
Audi,14200.0,vagon,200,2.7,Diesel,yes,2006,A6,7
Renault,10799.0,vagon,193,1.5,Diesel,yes,2012,Megane,8
Volkswagen,1400.0,other,212,1.8,Gas,no,1999,Golf IV,9
Renault,11950.0,vagon,177,1.5,Diesel,yes,2011,Megane,10
Renault,2500.0,sedan,260,1.79,Petrol,yes,1994,19,11
Audi,9500.0,vagon,165,2.7,Gas,yes,2003,A6 Allroad,12
Volkswagen,10500.0,sedan,100,1.8,Petrol,yes,2008,Passat B6,13
Toyota,16000.0,crossover,250,4.7,Gas,yes,2001,Land Cruiser 100,14
Renault,8600.0,hatch,84,1.5,Diesel,yes,2012,Clio,15
BMW,2990.0,other,203,2.0,Petrol,no,2001,318,16
Mercedes-Benz,,van,240,2.2,Diesel,yes,2007,Vito,17
Toyota,26500.0,crossover,21,2.0,Petrol,yes,2013,Rav 4,18
Audi,3500.0,vagon,250,2.5,Diesel,no,1998,A6,19
Toyota,38233.0,other,0,2.4,Diesel,yes,2016,Hilux,20
Volkswagen,7500.0,hatch,132,1.4,Diesel,yes,2006,Polo,21
Audi,6800.0,sedan,225,2.4,Gas,yes,1998,A6,22
Mitsubishi,10500.0,crossover,130,2.4,Gas,yes,2006,Outlander,23
Audi,24900.0,sedan,163,4.2,Diesel,yes,2008,A8,24
Volkswagen,20800.0,crossover,151,3.0,Diesel,yes,2008,Touareg,25
Audi,6500.0,sedan,330,2.4,Petrol,yes,1999,A6,26
Mercedes-Benz,13566.0,other,171,2.2,Other,no,2011,Vito,27
Mitsubishi,8500.0,hatch,65,1.3,Petrol,yes,2010,Colt,28
Mercedes-Benz,,crossover,0,4.6,Petrol,yes,2016,GLS 500,29
Audi,2900.0,sedan,1,2.3,Gas,yes,1989,100,30
BMW,21500.0,other,72,3.0,Petrol,yes,2007,Z4,31
Mitsubishi,17900.0,crossover,87,3.8,Gas,yes,2008,Pajero Wagon,32
BMW,28500.0,crossover,160,4.8,Gas,yes,2008,X5,33
Volkswagen,9800.0,van,160,1.9,Diesel,yes,2009,Caddy,34
Toyota,14500.0,sedan,147,2.4,Gas,yes,2006,Camry,35
BMW,6000.0,sedan,300,2.8,Petrol,yes,1996,528,36
BMW,67500.0,crossover,1,2.5,Diesel,yes,2016,X5,37
Audi,33900.0,other,14,1.8,Petrol,yes,2014,TT,38
Audi,2500.0,sedan,180,,Petrol,no,2000,A4,39
Mercedes-Benz,9800.0,van,230,2.15,Diesel,yes,2004,Vito,40
Mercedes-Benz,63000.0,crossover,86,5.5,Petrol,yes,2009,G 55 AMG,41
BMW,7700.0,sedan,326,2.8,Petrol,yes,1998,528,42
Mercedes-Benz,9600.0,van,30,2.2,Diesel,yes,2006,Vito,43
Toyota,12800.0,sedan,181,2.4,Petrol,yes,2008,Camry,44
BMW,41000.0,crossover,80,3.0,Petrol,yes,2012,X6,45
Mitsubishi,2500.0,sedan,220,2.4,Petrol,yes,1987,Galant,46
BMW,3700.0,sedan,231,2.5,Petrol,yes,1990,525,47
Mercedes-Benz,29500.0,sedan,134,5.0,Petrol,yes,2008,S 500,48
BMW,6500.0,sedan,335,2.8,Petrol,yes,1996,528,49
Mercedes-Benz,,sedan,145,3.2,Diesel,yes,2007,E-Class,50
Renault,8250.0,van,66,1.5,Diesel,yes,2014,Kangoo,51
Mercedes-Benz,19500.0,crossover,172,3.5,Other,yes,2008,ML 350,52
Mercedes-Benz,13500.0,sedan,317,5.0,Petrol,yes,2001,S 500,53
Mercedes-Benz,9200.0,van,266,2.2,Diesel,yes,2008,Vito,54
Mercedes-Benz,,crossover,0,3.0,Diesel,yes,2016,GLS 350,55
Toyota,10900.0,sedan,156,,Gas,yes,2005,Camry,56
Volkswagen,5000.0,vagon,265,2.0,Diesel,no,2006,Passat B6,57
BMW,23900.0,crossover,162,4.8,Petrol,yes,2007,X5,58
BMW,36900.0,sedan,81,3.0,Diesel,yes,2010,730,59
BMW,8900.0,other,253,1.8,Petrol,yes,1995,318,60
Renault,7800.0,van,200,1.9,Diesel,yes,2002,Trafic,61
BMW,133000.0,crossover,7,4.4,Petrol,yes,2015,X5 M,62
BMW,1650.0,sedan,270,1.8,Petrol,no,1995,318,63
Mercedes-Benz,50000.0,sedan,240,3.5,Petrol,yes,2006,S 350,64
Renault,9700.0,van,245,2.0,Diesel,yes,2008,Trafic,65
Mercedes-Benz,9999.0,van,127,2.2,Diesel,yes,2005,Vito,66
Audi,69999.0,crossover,21,3.0,Petrol,yes,2015,A6 Allroad,67
Mitsubishi,6500.0,sedan,152,1.6,Petrol,yes,2007,Lancer,68
Audi,4300.0,sedan,267,1.9,Diesel,no,2003,A6,69
Audi,3000.0,sedan,267,2.5,Diesel,no,1999,A6,70
Mercedes-Benz,8700.0,sedan,240,2.2,Diesel,yes,2000,E-Class,71
Renault,9000.0,vagon,178,2.0,Petrol,yes,2008,Scenic,72
Mercedes-Benz,20400.0,sedan,190,1.8,Gas,yes,2011,E-Class,73
BMW,9000.0,sedan,175,3.0,Petrol,no,2006,330,74
Mercedes-Benz,13400.0,sedan,105,1.8,Petrol,yes,2006,E-Class,75
Volkswagen,3700.0,sedan,195,1.9,Diesel,no,2001,Passat B5,76
Volkswagen,9850.0,van,126,2.0,Diesel,yes,2012,Caddy,77
Audi,3700.0,hatch,420,2.0,Diesel,no,2004,A3,78
Toyota,15700.0,crossover,195,4.0,Gas,yes,2003,Land Cruiser Prado,79
Mercedes-Benz,24500.0,sedan,180,2.2,Diesel,yes,2012,E-Class,80
Mitsubishi,7500.0,sedan,195,1.6,Gas,yes,2007,Lancer,81
Volkswagen,11990.0,van,231,2.5,Diesel,yes,2002,Caravelle,82
Volkswagen,13708.5,hatch,51,1.4,Petrol,yes,2014,Polo,83
BMW,8200.0,sedan,287,2.5,Gas,yes,1999,525,84
Renault,6999.0,van,222,1.5,Diesel,yes,2009,Kangoo,85
Renault,6750.0,vagon,214,1.5,Diesel,yes,2004,Megane,86
Audi,18500.0,sedan,245,3.0,Diesel,yes,2006,A8,87
Toyota,14299.0,sedan,83,2.0,Petrol,yes,2009,Avensis,88
Mercedes-Benz,28500.0,crossover,210,3.2,Diesel,yes,2007,GL 320,89
Mitsubishi,17000.0,crossover,89,3.8,Petrol,yes,2008,Pajero Wagon,90
Mercedes-Benz,,crossover,0,3.0,Diesel,yes,2016,GL 350,91
Mercedes-Benz,25700.0,crossover,130,4.7,Gas,yes,2008,GL 450,92
Audi,2650.0,vagon,333,2.5,Diesel,no,2000,A6,93
Mitsubishi,8500.0,sedan,116,1.5,Petrol,yes,2008,Lancer X,94
Mercedes-Benz,4000.0,sedan,405,2.0,Diesel,yes,1992,200,95
Renault,11000.0,other,131,1.5,Diesel,yes,2011,Kangoo,96
Mercedes-Benz,14500.0,sedan,138,2.0,Petrol,yes,2007,E-Class,97
BMW,4099.0,sedan,50,2.5,Petrol,yes,1988,520,98
Volkswagen,31500.0,crossover,1,2.0,Petrol,yes,2014,Tiguan,99
Renault,4500.0,van,207,1.5,Diesel,yes,2003,Kangoo,100
