sid,cid
0,0
3,0
79,0
88,0
164,0
179,0
269,0
314,0
404,0
410,0
489,0
507,0
586,0
616,0
706,0
796,0
886,0
889,0
965,0
974,0
1050,0
1065,0
1155,0
1200,0
1290,0
1296,0
1375,0
1393,0
1472,0
1502,0
1592,0
1682,0
0,1
3,1
79,1
88,1
165,1
180,1
270,1
315,1
404,1
410,1
489,1
507,1
587,1
617,1
707,1
797,1
886,1
889,1
965,1
974,1
1051,1
1066,1
1156,1
1201,1
1290,1
1296,1
1375,1
1393,1
1473,1
1503,1
1593,1
1683,1
0,2
4,2
79,2
89,2
166,2
181,2
271,2
316,2
404,2
411,2
489,2
508,2
588,2
618,2
708,2
798,2
886,2
890,2
965,2
975,2
1052,2
1067,2
1157,2
1202,2
1290,2
1297,2
1375,2
1394,2
1474,2
1504,2
1594,2
1684,2
0,3
4,3
79,3
89,3
167,3
182,3
272,3
317,3
404,3
411,3
489,3
508,3
589,3
619,3
709,3
799,3
886,3
890,3
965,3
975,3
1053,3
1068,3
1158,3
1203,3
1290,3
1297,3
1375,3
1394,3
1475,3
1505,3
1595,3
1685,3
0,4
5,4
79,4
90,4
168,4
183,4
273,4
318,4
404,4
412,4
489,4
509,4
590,4
620,4
710,4
800,4
886,4
891,4
965,4
976,4
1054,4
1069,4
1159,4
1204,4
1290,4
1298,4
1375,4
1395,4
1476,4
1506,4
1596,4
1686,4
0,5
5,5
79,5
90,5
164,5
184,5
269,5
319,5
405,5
413,5
490,5
510,5
591,5
621,5
711,5
801,5
886,5
891,5
965,5
976,5
1050,5
1070,5
1155,5
1205,5
1291,5
1299,5
1376,5
1396,5
1477,5
1507,5
1597,5
1687,5
0,6
6,6
79,6
91,6
165,6
185,6
270,6
320,6
405,6
414,6
490,6
511,6
592,6
622,6
712,6
802,6
886,6
892,6
965,6
977,6
1051,6
1071,6
1156,6
1206,6
1291,6
1300,6
1376,6
1397,6
1478,6
1508,6
1598,6
1688,6
0,7
6,7
79,7
91,7
166,7
186,7
271,7
321,7
405,7
414,7
490,7
511,7
593,7
623,7
713,7
803,7
886,7
892,7
965,7
977,7
1052,7
1072,7
1157,7
1207,7
1291,7
1300,7
1376,7
1397,7
1479,7
1509,7
1599,7
1689,7
0,8
7,8
79,8
92,8
167,8
187,8
272,8
322,8
405,8
415,8
490,8
512,8
594,8
624,8
714,8
804,8
886,8
893,8
965,8
978,8
1053,8
1073,8
1158,8
1208,8
1291,8
1301,8
1376,8
1398,8
1480,8
1510,8
1600,8
1690,8
0,9
7,9
79,9
92,9
168,9
188,9
273,9
323,9
405,9
415,9
490,9
512,9
595,9
625,9
715,9
805,9
886,9
893,9
965,9
978,9
1054,9
1074,9
1159,9
1209,9
1291,9
1301,9
1376,9
1398,9
1481,9
1511,9
1601,9
1691,9
0,10
8,10
80,10
93,10
164,10
189,10
274,10
324,10
404,10
416,10
491,10
513,10
586,10
626,10
716,10
806,10
886,10
894,10
966,10
979,10
1050,10
1075,10
1160,10
1210,10
1290,10
1302,10
1377,10
1399,10
1472,10
1512,10
1602,10
1692,10
0,11
8,11
80,11
93,11
165,11
190,11
275,11
325,11
404,11
416,11
491,11
513,11
587,11
627,11
717,11
807,11
886,11
894,11
966,11
979,11
1051,11
1076,11
1161,11
1211,11
1290,11
1302,11
1377,11
1399,11
1473,11
1513,11
1603,11
1693,11
0,12
9,12
80,12
94,12
166,12
191,12
276,12
326,12
404,12
417,12
491,12
514,12
588,12
628,12
718,12
808,12
886,12
895,12
966,12
980,12
1052,12
1077,12
1162,12
1212,12
1290,12
1303,12
1377,12
1400,12
1474,12
1514,12
1604,12
1694,12
0,13
9,13
80,13
94,13
167,13
192,13
277,13
327,13
404,13
417,13
491,13
514,13
589,13
629,13
719,13
809,13
886,13
895,13
966,13
980,13
1053,13
1078,13
1163,13
1213,13
1290,13
1303,13
1377,13
1400,13
1475,13
1515,13
1605,13
1695,13
0,14
10,14
80,14
95,14
168,14
193,14
278,14
328,14
404,14
418,14
491,14
515,14
590,14
630,14
720,14
810,14
886,14
896,14
966,14
981,14
1054,14
1079,14
1164,14
1214,14
1290,14
1304,14
1377,14
1401,14
1476,14
1516,14
1606,14
1696,14
0,15
10,15
80,15
95,15
164,15
194,15
274,15
329,15
405,15
419,15
492,15
516,15
591,15
631,15
721,15
811,15
886,15
896,15
966,15
981,15
1050,15
1080,15
1160,15
1215,15
1291,15
1305,15
1378,15
1402,15
1477,15
1517,15
1607,15
1697,15
0,16
11,16
80,16
96,16
165,16
195,16
275,16
330,16
405,16
420,16
492,16
517,16
592,16
632,16
722,16
812,16
886,16
897,16
966,16
982,16
1051,16
1081,16
1161,16
1216,16
1291,16
1306,16
1378,16
1403,16
1478,16
1518,16
1608,16
1698,16
0,17
11,17
80,17
96,17
166,17
196,17
276,17
331,17
405,17
420,17
492,17
517,17
593,17
633,17
723,17
813,17
886,17
897,17
966,17
982,17
1052,17
1082,17
1162,17
1217,17
1291,17
