sid,cid
0,0
2,0
65,0
79,0
402,0
414,0
694,0
770,0
1682,0
1690,0
1892,0
1943,0
2694,0
2741,0
3386,0
3614,0
5120,0
5514,0
7128,0
7523,0
9139,0
9773,0
11780,0
12415,0
14424,0
15135,0
17272,0
17984,0
20122,0
21134,0
23597,0
24610,0
27074,0
27076,0
27139,0
27153,0
27476,0
27488,0
27768,0
27844,0
28756,0
28764,0
28966,0
29017,0
29768,0
29815,0
30460,0
30688,0
32194,0
32588,0
34202,0
34597,0
36213,0
36847,0
38854,0
39489,0
41498,0
42209,0
44346,0
45058,0
47196,0
48208,0
50671,0
51684,0
0,1
3,1
66,1
80,1
403,1
415,1
695,1
771,1
1683,1
1691,1
1893,1
1944,1
2695,1
2742,1
3387,1
3615,1
5121,1
5515,1
7129,1
7524,1
9140,1
9774,1
11781,1
12416,1
14425,1
15136,1
17273,1
17985,1
20123,1
21135,1
23598,1
24611,1
27074,1
27077,1
27140,1
27154,1
27477,1
27489,1
27769,1
27845,1
28757,1
28765,1
28967,1
29018,1
29769,1
29816,1
30461,1
30689,1
32195,1
32589,1
34203,1
34598,1
36214,1
36848,1
38855,1
39490,1
41499,1
42210,1
44347,1
45059,1
47197,1
48209,1
50672,1
51685,1
0,2
4,2
66,2
81,2
402,2
416,2
696,2
772,2
1684,2
1692,2
1894,2
1945,2
2696,2
2743,2
3388,2
3616,2
5122,2
5516,2
7130,2
7525,2
9141,2
9775,2
11782,2
12417,2
14426,2
15137,2
17274,2
17986,2
20124,2
21136,2
23599,2
24612,2
27074,2
27078,2
27140,2
27155,2
27476,2
27490,2
27770,2
27846,2
28758,2
28766,2
28968,2
29019,2
29770,2
29817,2
30462,2
30690,2
32196,2
32590,2
34204,2
34599,2
36215,2
36849,2
38856,2
39491,2
41500,2
42211,2
44348,2
45060,2
47198,2
48210,2
50673,2
51686,2
0,3
5,3
67,3
82,3
404,3
417,3
697,3
773,3
1682,3
1693,3
1895,3
1946,3
2697,3
2744,3
3389,3
3617,3
5123,3
5517,3
7131,3
7526,3
9142,3
9776,3
11783,3
12418,3
14427,3
15138,3
17275,3
17987,3
20125,3
21137,3
23600,3
24613,3
27074,3
27079,3
27141,3
27156,3
27478,3
27491,3
27771,3
27847,3
28756,3
28767,3
28969,3
29020,3
29771,3
29818,3
30463,3
30691,3
32197,3
32591,3
34205,3
34600,3
36216,3
36850,3
38857,3
39492,3
41501,3
42212,3
44349,3
45061,3
47199,3
48211,3
50674,3
51687,3
0,4
6,4
68,4
83,4
404,4
418,4
698,4
774,4
1682,4
1694,4
1896,4
1947,4
2697,4
2745,4
3390,4
3618,4
5124,4
5518,4
7132,4
7527,4
9143,4
9777,4
11784,4
12419,4
14428,4
15139,4
17276,4
17988,4
20126,4
21138,4
23601,4
24614,4
27074,4
27080,4
27142,4
27157,4
27478,4
27492,4
27772,4
27848,4
28756,4
28768,4
28970,4
29021,4
29771,4
29819,4
30464,4
30692,4
32198,4
32592,4
34206,4
34601,4
36217,4
36851,4
38858,4
39493,4
41502,4
42213,4
44350,4
45062,4
47200,4
48212,4
50675,4
51688,4
0,5
7,5
66,5
84,5
404,5
419,5
699,5
775,5
1682,5
1695,5
1897,5
1948,5
2697,5
2746,5
3391,5
3619,5
5125,5
5519,5
7133,5
7528,5
9144,5
9778,5
11785,5
12420,5
14429,5
15140,5
17277,5
17989,5
20127,5
21139,5
23602,5
24615,5
27074,5
27081,5
27140,5
27158,5
27478,5
27493,5
27773,5
27849,5
28756,5
28769,5
28971,5
29022,5
29771,5
29820,5
30465,5
30693,5
32199,5
32593,5
34207,5
34602,5
36218,5
36852,5
38859,5
