Year,Brand,Category,sid
*,*,*,0
2007,*,*,1
2008,*,*,2
2009,*,*,3
2010,*,*,4
2011,*,*,5
*,BMW,*,6
*,Ford,*,7
*,GMC,*,8
*,Honda,*,9
*,Hyundai,*,10
*,Mazda,*,11
*,Toyota,*,12
*,Volkswagen,*,13
2007,BMW,*,14
2008,BMW,*,15
2009,BMW,*,16
2010,BMW,*,17
2011,BMW,*,18
2007,Ford,*,19
2008,Ford,*,20
2009,Ford,*,21
2010,Ford,*,22
2011,Ford,*,23
2007,GMC,*,24
2008,GMC,*,25
2009,GMC,*,26
2010,GMC,*,27
2011,GMC,*,28
2007,Honda,*,29
2008,Honda,*,30
2009,Honda,*,31
2010,Honda,*,32
2011,Honda,*,33
2007,Hyundai,*,34
2008,Hyundai,*,35
2009,Hyundai,*,36
2010,Hyundai,*,37
2011,Hyundai,*,38
2007,Mazda,*,39
2008,Mazda,*,40
2009,Mazda,*,41
2010,Mazda,*,42
2011,Mazda,*,43
2007,Toyota,*,44
2008,Toyota,*,45
2009,Toyota,*,46
2010,Toyota,*,47
2011,Toyota,*,48
2007,Volkswagen,*,49
2008,Volkswagen,*,50
2009,Volkswagen,*,51
2010,Volkswagen,*,52
2011,Volkswagen,*,53
*,*,Compact,54
*,*,Fullsize,55
*,*,Midsize,56
*,*,Sporty,57
*,*,Subcompact,58
*,*,SUV,59
*,*,Pickup,60
*,*,MPV,61
2007,*,Compact,62
2008,*,Compact,63
2009,*,Compact,64
2010,*,Compact,65
2011,*,Compact,66
2007,*,Fullsize,67
2008,*,Fullsize,68
2009,*,Fullsize,69
2010,*,Fullsize,70
2011,*,Fullsize,71
2008,*,Midsize,72
2009,*,Midsize,73
2010,*,Midsize,74
2011,*,Midsize,75
2007,*,Sporty,76
2008,*,Sporty,77
2009,*,Sporty,78
2010,*,Sporty,79
2011,*,Sporty,80
2007,*,Subcompact,81
2008,*,Subcompact,82
2009,*,Subcompact,83
2010,*,Subcompact,84
2011,*,Subcompact,85
2007,*,SUV,86
2008,*,SUV,87
2009,*,SUV,88
2010,*,SUV,89
2011,*,SUV,90
2007,*,Midsize,91
2007,*,Pickup,92
2008,*,Pickup,93
2009,*,Pickup,94
2010,*,Pickup,95
2011,*,Pickup,96
2007,*,MPV,97
2008,*,MPV,98
2009,*,MPV,99
2010,*,MPV,100
2011,*,MPV,101
*,BMW,Compact,102
*,BMW,Fullsize,103
*,BMW,Midsize,104
*,BMW,Sporty,105
*,BMW,Subcompact,106
*,BMW,SUV,107
*,Ford,Compact,108
*,Ford,Fullsize,109
*,Ford,Midsize,110
*,Ford,Pickup,111
*,Ford,Sporty,112
*,Ford,Subcompact,113
*,Ford,SUV,114
*,GMC,Pickup,115
*,GMC,SUV,116
*,Honda,Midsize,117
*,Honda,Subcompact,118
*,Honda,SUV,119
*,Hyundai,Compact,120
*,Hyundai,Midsize,121
*,Hyundai,Subcompact,122
*,Hyundai,SUV,123
*,Mazda,Compact,124
*,Mazda,Midsize,125
*,Mazda,MPV,126
*,Mazda,Subcompact,127
