Year,Brand,Body,Engine Type,Model,Registration,sid
*,*,*,*,*,*,0
1991,*,*,*,*,*,2
1999,*,*,*,*,*,3
2003,*,*,*,*,*,4
2007,*,*,*,*,*,5
2011,*,*,*,*,*,6
2016,*,*,*,*,*,7
1997,*,*,*,*,*,8
2006,*,*,*,*,*,9
2012,*,*,*,*,*,10
1994,*,*,*,*,*,12
2008,*,*,*,*,*,13
2001,*,*,*,*,*,14
2013,*,*,*,*,*,16
1998,*,*,*,*,*,17
2010,*,*,*,*,*,20
1989,*,*,*,*,*,21
2009,*,*,*,*,*,22
1996,*,*,*,*,*,23
2014,*,*,*,*,*,24
2000,*,*,*,*,*,25
2004,*,*,*,*,*,26
1987,*,*,*,*,*,27
1990,*,*,*,*,*,28
2005,*,*,*,*,*,29
1995,*,*,*,*,*,31
2002,*,*,*,*,*,32
2015,*,*,*,*,*,33
1992,*,*,*,*,*,38
1988,*,*,*,*,*,39
1986,*,*,*,*,*,40
1980,*,*,*,*,*,43
1979,*,*,*,*,*,46
1985,*,*,*,*,*,47
1993,*,*,*,*,*,50
1969,*,*,*,*,*,53
1984,*,*,*,*,*,54
1978,*,*,*,*,*,55
1983,*,*,*,*,*,61
1982,*,*,*,*,*,64
*,BMW,*,*,*,*,65
*,Mercedes-Benz,*,*,*,*,66
*,Audi,*,*,*,*,67
*,Toyota,*,*,*,*,68
*,Renault,*,*,*,*,69
*,Volkswagen,*,*,*,*,70
*,Mitsubishi,*,*,*,*,74
1991,BMW,*,*,*,*,79
1999,Mercedes-Benz,*,*,*,*,80
2003,Mercedes-Benz,*,*,*,*,81
2007,Audi,*,*,*,*,82
2011,Toyota,*,*,*,*,83
2016,Mercedes-Benz,*,*,*,*,84
1997,BMW,*,*,*,*,85
2006,Audi,*,*,*,*,86
2012,Renault,*,*,*,*,87
1999,Volkswagen,*,*,*,*,88
2011,Renault,*,*,*,*,89
1994,Renault,*,*,*,*,90
2003,Audi,*,*,*,*,91
2008,Volkswagen,*,*,*,*,92
2001,Toyota,*,*,*,*,93
2001,BMW,*,*,*,*,94
2007,Mercedes-Benz,*,*,*,*,95
2013,Toyota,*,*,*,*,96
1998,Audi,*,*,*,*,97
2016,Toyota,*,*,*,*,98
2006,Volkswagen,*,*,*,*,99
2006,Mitsubishi,*,*,*,*,101
2008,Audi,*,*,*,*,102
1999,Audi,*,*,*,*,103
2011,Mercedes-Benz,*,*,*,*,104
2010,Mitsubishi,*,*,*,*,105
1989,Audi,*,*,*,*,106
2007,BMW,*,*,*,*,107
2008,Mitsubishi,*,*,*,*,108
2008,BMW,*,*,*,*,109
2009,Volkswagen,*,*,*,*,110
2006,Toyota,*,*,*,*,111
1996,BMW,*,*,*,*,112
2016,BMW,*,*,*,*,113
2014,Audi,*,*,*,*,114
2000,Audi,*,*,*,*,115
2004,Mercedes-Benz,*,*,*,*,116
2009,Mercedes-Benz,*,*,*,*,117
1998,BMW,*,*,*,*,118
2006,Mercedes-Benz,*,*,*,*,119
2008,Toyota,*,*,*,*,120
2012,BMW,*,*,*,*,121
1987,Mitsubishi,*,*,*,*,122
1990,BMW,*,*,*,*,123
2008,Mercedes-Benz,*,*,*,*,124
2014,Renault,*,*,*,*,125
2001,Mercedes-Benz,*,*,*,*,126
2005,Toyota,*,*,*,*,127
2010,BMW,*,*,*,*,129
1995,BMW,*,*,*,*,130
2002,Renault,*,*,*,*,131
2015,BMW,*,*,*,*,132
2008,Renault,*,*,*,*,134
2005,Mercedes-Benz,*,*,*,*,135
2015,Audi,*,*,*,*,136
2007,Mitsubishi,*,*,*,*,137
2000,Mercedes-Benz,*,*,*,*,140
2006,BMW,*,*,*,*,142
2001,Volkswagen,*,*,*,*,143
2012,Volkswagen,*,*,*,*,144
2004,Audi,*,*,*,*,145
2003,Toyota,*,*,*,*,146
2012,Mercedes-Benz,*,*,*,*,147
2002,Volkswagen,*,*,*,*,148
2014,Volkswagen,*,*,*,*,149
1999,BMW,*,*,*,*,150
2009,Renault,*,*,*,*,151
2004,Renault,*,*,*,*,152
2009,Toyota,*,*,*,*,153
1992,Mercedes-Benz,*,*,*,*,154
1988,BMW,*,*,*,*,155
2003,Renault,*,*,*,*,156
2004,Volkswagen,*,*,*,*,157
2011,Mitsubishi,*,*,*,*,158
2002,Toyota,*,*,*,*,160
1994,BMW,*,*,*,*,161
2014,BMW,*,*,*,*,162
2012,Mitsubishi,*,*,*,*,163
2007,Volkswagen,*,*,*,*,164
2010,Renault,*,*,*,*,165
1986,Mitsubishi,*,*,*,*,166
1994,Volkswagen,*,*,*,*,167
2002,BMW,*,*,*,*,168
2014,Mercedes-Benz,*,*,*,*,169
2013,Volkswagen,*,*,*,*,170
2011,Volkswagen,*,*,*,*,172
2005,BMW,*,*,*,*,173
2010,Mercedes-Benz,*,*,*,*,175
1980,Audi,*,*,*,*,176
2003,BMW,*,*,*,*,177
2011,Audi,*,*,*,*,178
2013,Mercedes-Benz,*,*,*,*,179
2012,Toyota,*,*,*,*,180
2000,BMW,*,*,*,*,181
1999,Renault,*,*,*,*,182
2005,Renault,*,*,*,*,183
2013,Renault,*,*,*,*,185
2015,Mercedes-Benz,*,*,*,*,186
2007,Toyota,*,*,*,*,187
2010,Volkswagen,*,*,*,*,188
2013,Audi,*,*,*,*,189
1998,Volkswagen,*,*,*,*,191
2004,Mitsubishi,*,*,*,*,192
2005,Volkswagen,*,*,*,*,193
2016,Volkswagen,*,*,*,*,194
2011,BMW,*,*,*,*,195
1996,Mitsubishi,*,*,*,*,196
2004,BMW,*,*,*,*,197
2000,Volkswagen,*,*,*,*,198
2010,Audi,*,*,*,*,199
1996,Volkswagen,*,*,*,*,200
1989,Volkswagen,*,*,*,*,202
2016,Mitsubishi,*,*,*,*,203
1997,Mercedes-Benz,*,*,*,*,204
2009,Mitsubishi,*,*,*,*,205
2010,Toyota,*,*,*,*,206
2015,Toyota,*,*,*,*,207
1991,Volkswagen,*,*,*,*,208
2014,Toyota,*,*,*,*,209
2000,Renault,*,*,*,*,211
1979,Toyota,*,*,*,*,212
2016,Renault,*,*,*,*,213
1998,Mercedes-Benz,*,*,*,*,214
2001,Renault,*,*,*,*,215
2007,Renault,*,*,*,*,216
2003,Volkswagen,*,*,*,*,217
2002,Mercedes-Benz,*,*,*,*,219
2015,Volkswagen,*,*,*,*,221
1991,Toyota,*,*,*,*,223
1997,Mitsubishi,*,*,*,*,225
1986,Audi,*,*,*,*,227
1994,Mercedes-Benz,*,*,*,*,228
1988,Audi,*,*,*,*,231
2013,BMW,*,*,*,*,233
1985,Mercedes-Benz,*,*,*,*,234
2006,Renault,*,*,*,*,235
1996,Audi,*,*,*,*,236
1995,Volkswagen,*,*,*,*,238
2005,Audi,*,*,*,*,242
2000,Toyota,*,*,*,*,246
1996,Mercedes-Benz,*,*,*,*,248
2009,BMW,*,*,*,*,249
1993,Mitsubishi,*,*,*,*,250
1986,Mercedes-Benz,*,*,*,*,253
2004,Toyota,*,*,*,*,256
2012,Audi,*,*,*,*,260
2002,Audi,*,*,*,*,261
2016,Audi,*,*,*,*,262
2001,Audi,*,*,*,*,264
1998,Mitsubishi,*,*,*,*,265
1994,Toyota,*,*,*,*,266
1995,Toyota,*,*,*,*,269
1992,Audi,*,*,*,*,271
2005,Mitsubishi,*,*,*,*,273
1993,Audi,*,*,*,*,275
2003,Mitsubishi,*,*,*,*,276
1994,Audi,*,*,*,*,278
2013,Mitsubishi,*,*,*,*,279
1969,Mercedes-Benz,*,*,*,*,280
1997,Volkswagen,*,*,*,*,282
1987,Volkswagen,*,*,*,*,283
1993,Toyota,*,*,*,*,284
1995,Mercedes-Benz,*,*,*,*,286
1988,Mercedes-Benz,*,*,*,*,287
2014,Mitsubishi,*,*,*,*,288
1997,Toyota,*,*,*,*,289
