Birthday,Age Segment,Marital Status,Sex,Age Group,sid
*,*,*,*,*,0
2003,*,*,*,*,3
2002,*,*,*,*,4
2001,*,*,*,*,5
2000,*,*,*,*,6
1999,*,*,*,*,7
1998,*,*,*,*,8
1997,*,*,*,*,9
1996,*,*,*,*,10
1995,*,*,*,*,11
1994,*,*,*,*,12
1993,*,*,*,*,13
1992,*,*,*,*,14
1991,*,*,*,*,15
1990,*,*,*,*,16
1989,*,*,*,*,17
1988,*,*,*,*,18
1987,*,*,*,*,19
1986,*,*,*,*,20
1985,*,*,*,*,21
1984,*,*,*,*,22
1983,*,*,*,*,23
1982,*,*,*,*,24
1981,*,*,*,*,25
1980,*,*,*,*,26
1979,*,*,*,*,27
1978,*,*,*,*,28
1977,*,*,*,*,29
1976,*,*,*,*,30
1975,*,*,*,*,31
1974,*,*,*,*,32
1973,*,*,*,*,33
1972,*,*,*,*,34
1971,*,*,*,*,35
1970,*,*,*,*,36
1969,*,*,*,*,37
1968,*,*,*,*,38
1967,*,*,*,*,39
1966,*,*,*,*,40
1965,*,*,*,*,41
1964,*,*,*,*,42
1963,*,*,*,*,43
1962,*,*,*,*,44
1961,*,*,*,*,45
1960,*,*,*,*,46
1959,*,*,*,*,47
1958,*,*,*,*,48
1957,*,*,*,*,49
1956,*,*,*,*,50
1955,*,*,*,*,51
1954,*,*,*,*,52
1953,*,*,*,*,53
1952,*,*,*,*,54
1951,*,*,*,*,55
1950,*,*,*,*,56
1949,*,*,*,*,57
1948,*,*,*,*,58
1947,*,*,*,*,59
1946,*,*,*,*,60
1945,*,*,*,*,61
1944,*,*,*,*,62
1943,*,*,*,*,63
1942,*,*,*,*,64
1941,*,*,*,*,65
1940,*,*,*,*,66
1939,*,*,*,*,67
1938,*,*,*,*,68
1937,*,*,*,*,69
1936,*,*,*,*,70
1935,*,*,*,*,71
1934,*,*,*,*,72
1933,*,*,*,*,73
1932,*,*,*,*,74
1931,*,*,*,*,75
1930,*,*,*,*,76
1929,*,*,*,*,77
1928,*,*,*,*,78
*,15-19 years,*,*,*,79
*,20-24 years,*,*,*,80
*,25-34 years,*,*,*,81
*,35-44 years,*,*,*,82
*,45-54 years,*,*,*,83
*,55-64 years,*,*,*,84
*,65-74 years,*,*,*,85
*,75-84 years,*,*,*,86
*,85 years and over,*,*,*,87
2003,15-19 years,*,*,*,88
2002,15-19 years,*,*,*,89
2001,15-19 years,*,*,*,90
2000,15-19 years,*,*,*,91
1999,15-19 years,*,*,*,92
1998,20-24 years,*,*,*,93
1997,20-24 years,*,*,*,94
1996,20-24 years,*,*,*,95
1995,20-24 years,*,*,*,96
1994,20-24 years,*,*,*,97
1993,25-34 years,*,*,*,98
1992,25-34 years,*,*,*,99
1991,25-34 years,*,*,*,100
1990,25-34 years,*,*,*,101
1989,25-34 years,*,*,*,102
1988,25-34 years,*,*,*,103
1987,25-34 years,*,*,*,104
1986,25-34 years,*,*,*,105
1985,25-34 years,*,*,*,106
1984,25-34 years,*,*,*,107
1983,35-44 years,*,*,*,108
1982,35-44 years,*,*,*,109
1981,35-44 years,*,*,*,110
1980,35-44 years,*,*,*,111
1979,35-44 years,*,*,*,112
1978,35-44 years,*,*,*,113
1977,35-44 years,*,*,*,114
1976,35-44 years,*,*,*,115
1975,35-44 years,*,*,*,116
1974,35-44 years,*,*,*,117
1973,45-54 years,*,*,*,118
1972,45-54 years,*,*,*,119
1971,45-54 years,*,*,*,120
1970,45-54 years,*,*,*,121
1969,45-54 years,*,*,*,122
1968,45-54 years,*,*,*,123
1967,45-54 years,*,*,*,124
1966,45-54 years,*,*,*,125
1965,45-54 years,*,*,*,126
1964,45-54 years,*,*,*,127
1963,55-64 years,*,*,*,128
1962,55-64 years,*,*,*,129
1961,55-64 years,*,*,*,130
1960,55-64 years,*,*,*,131
1959,55-64 years,*,*,*,132
1958,55-64 years,*,*,*,133
1957,55-64 years,*,*,*,134
1956,55-64 years,*,*,*,135
1955,55-64 years,*,*,*,136
1954,55-64 years,*,*,*,137
1953,65-74 years,*,*,*,138
1952,65-74 years,*,*,*,139
1951,65-74 years,*,*,*,140
1950,65-74 years,*,*,*,141
1949,65-74 years,*,*,*,142
1948,65-74 years,*,*,*,143
1947,65-74 years,*,*,*,144
1946,65-74 years,*,*,*,145
1945,65-74 years,*,*,*,146
1944,65-74 years,*,*,*,147
1943,75-84 years,*,*,*,148
1942,75-84 years,*,*,*,149
1941,75-84 years,*,*,*,150
1940,75-84 years,*,*,*,151
1939,75-84 years,*,*,*,152
1938,75-84 years,*,*,*,153
1937,75-84 years,*,*,*,154
1936,75-84 years,*,*,*,155
1935,75-84 years,*,*,*,156
1934,75-84 years,*,*,*,157
1933,85 years and over,*,*,*,158
1932,85 years and over,*,*,*,159
1931,85 years and over,*,*,*,160
